popualtion,record_date,method,estimation,individuals_captured,total_number_of_captures,number_of_male_individuals_captured,total_number_of_male_captures,number_of_female_individuals_captured,total_number_of_female_captures,est_n,standard_error,notes
R,31-Jul-96,Mark-recapture,Craig,6,16,4,8,2,8,6.6,0.0009,
S,31-Jul-96,Mark-recapture,Craig,7,13,6,12,1,1,9.3,0.0046,
d,1-Aug-96,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,Assumed to have been sampled
D,1-Aug-96,Mark-recapture,Craig,34,39,32,37,2,2,138.8,0.0,Poor estimate (83.6 from conversion may be more realistic)
E,1-Aug-96,Mark-recapture,Craig,54,68,45,59,9,9,141.6,0.0,
F,1-Aug-96,Mark-recapture,Craig,23,26,21,24,2,2,103.8,0.0,Poor estimate (52.9 from conversion may be more realistic)
Y,1-Aug-96,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,Assumed to have been sampled
Z,1-Aug-96,Mark-recapture,Craig,20,30,15,24,5,6,34.3,0.0,
I,12-Aug-96,Mark-recapture,Craig,8,8,7,7,1,1,15.4,0.072,
J,12-Aug-96,Mark-recapture,Craig,20,23,18,21,2,2,80.3,0.0001,
L,12-Aug-96,Mark-recapture,Craig,37,41,23,27,14,14,196.2,0.0,Poor estimate (92.3 from conversion may be more realistic)
M,12-Aug-96,Mark-recapture,Craig,51,53,50,52,1,1,684.5,0.0,Poor estimate (141.3 from conversion may be more realistic)
F,13-Aug-96,Mark-recapture,Craig,16,19,15,18,1,1,53.7,0.0005,
g,13-Aug-96,Mark-recapture,Craig,27,31,22,26,5,5,109.6,0.0,Poor estimate (63.8 from conversion may be more realistic)
G,13-Aug-96,Mark-recapture,Craig,38,53,31,45,7,8,75.0,0.0,
H,13-Aug-96,Mark-recapture,Craig,11,13,10,12,1,1,37.8,0.0092,
K,13-Aug-96,Mark-recapture,Craig,9,13,6,10,3,3,16.5,0.0061,
Y,13-Aug-96,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,Assumed to have been sampled
Z,13-Aug-96,Mark-recapture,Capture to Craig,15,15,13,13,2,2,32.1,1.9754,
d,14-Aug-96,Mark-recapture,Capture to Craig,2,2,2,2,0,0,3.0,1.9861,
D,14-Aug-96,Mark-recapture,Craig,26,31,23,28,3,3,85.5,0.0,
E,14-Aug-96,Mark-recapture,Craig,19,24,18,23,1,1,49.3,0.0,
N,14-Aug-96,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,Assumed to have been sampled
O,14-Aug-96,Mark-recapture,Craig,3,4,3,4,0,0,6.6,0.3648,
P,14-Aug-96,Mark-recapture,Craig,29,32,27,30,2,2,159.8,0.0,Poor estimate (69.4 from conversion may be more realistic)
Q,14-Aug-96,Mark-recapture,Craig,34,39,30,34,4,5,138.8,0.0,Poor estimate (83.6 from conversion may be more realistic)
R,14-Aug-96,Mark-recapture,Craig,4,5,1,2,3,3,10.8,0.2754,
S,14-Aug-96,Mark-recapture,Craig,5,7,5,7,0,0,9.8,0.0949,
d,21-Aug-96,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,Assumed to have been sampled
D,21-Aug-96,Mark-recapture,Capture to Craig,1,1,1,1,0,0,1.4,1.9981,
E,21-Aug-96,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,Assumed to have been sampled
Y,25-Aug-96,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,Assumed to have been sampled
Z,25-Aug-96,Mark-recapture,Craig,10,11,6,7,4,4,56.8,0.0308,Poor estimate (20.0 from conversion may be more realistic)
G,29-Aug-96,Mark-recapture,Capture to Craig,1,1,0,0,1,1,1.4,1.9981,
P,29-Aug-96,Mark-recapture,Capture to Craig,5,5,5,5,0,0,8.9,1.9762,
Q,29-Aug-96,Mark-recapture,Craig,7,8,6,7,1,1,29.3,0.0993,Poor estimate (13.2 from conversion may be more realistic)
F,24-Jul-97,Mark-recapture,Craig,25,38,21,34,4,4,41.9,0.0,
g,24-Jul-97,Mark-recapture,Craig,10,21,8,19,2,2,12.2,0.0001,
G,24-Jul-97,Mark-recapture,Craig,49,59,43,53,6,6,142.6,0.0,Reduced by proportion in H
H,24-Jul-97,Mark-recapture,Craig,15,18,13,16,2,2,42.6,0.0008,Proportion of captures in G but actually in H used
I,24-Jul-97,Mark-recapture,Craig,29,34,26,31,3,3,104.0,0.0,
J,24-Jul-97,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,
K,24-Jul-97,Mark-recapture,Craig,17,20,16,19,1,1,59.8,0.0004,
Y,24-Jul-97,Mark-recapture,Craig,3,4,1,1,2,3,6.6,0.3648,
F,28-Jul-97,Mark-recapture,Craig,26,27,22,22,4,5,355.4,0.0,poor estimate (61.1 better)
g,28-Jul-97,Mark-recapture,Craig,32,42,28,37,4,5,73.6,0.0,
G,28-Jul-97,Mark-recapture,Craig,40,49,36,45,4,4,114.4,0.0,Reduced by proportion in H
H,28-Jul-97,Mark-recapture,Craig,12,15,11,14,1,1,32.3,0.0031,Proportion of captures in G but actually in H used
I,28-Jul-97,Mark-recapture,Craig,28,34,27,33,1,1,84.6,0.0,
J,28-Jul-97,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,
K,28-Jul-97,Mark-recapture,Craig,32,38,31,37,1,1,107.3,0.0,
G,1-Aug-97,Mark-recapture,Craig,59,74,52,67,7,7,156.3,0.0,Reduced by proportion in H
H,1-Aug-97,Mark-recapture,Craig,18,22,16,20,2,2,52.9,0.0001,Proportion of captures in G but actually in H used
I,1-Aug-97,Mark-recapture,Craig,30,36,24,29,6,7,95.6,0.0,
J,1-Aug-97,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,
K,1-Aug-97,Mark-recapture,Craig,29,34,25,30,4,4,104.0,0.0,
Y,1-Aug-97,Mark-recapture,Capture to Craig,3,3,1,1,2,2,4.9,1.9806,
F,2-Aug-97,Mark-recapture,Craig,44,65,32,51,12,14,77.5,0.0,
g,2-Aug-97,Mark-recapture,Craig,35,47,26,38,9,9,75.6,0.0,
Y,2-Aug-97,Mark-recapture,Craig,2,2,1,1,1,1,3.0,0.8319,
F,11-Aug-97,Mark-recapture,Craig,6,13,3,7,3,6,7.2,0.004,
g,11-Aug-97,Mark-recapture,Craig,16,27,6,12,10,15,23.3,0.0,
G,12-Aug-97,Mark-recapture,Craig,9,12,1,1,8,11,19.8,0.011,Reduced by proportion in H
H,12-Aug-97,Mark-recapture,Craig,3,4,0,0,3,4,6.6,0.3648,Proportion of captures in G but actually in H used
K,12-Aug-97,Mark-recapture,Capture to Craig,6,6,4,4,2,2,11.0,1.9753,
K,13-Aug-97,Mark-recapture,Capture to Craig,3,3,1,1,2,2,4.9,1.9806,
G,19-Jul-01,Mark-recapture,Craig,13,21,13,21,0,0,20.0,0.0001,
H,19-Jul-01,Mark-recapture,Capture to Craig,6,6,6,6,0,0,11.0,1.9753,
G,20-Jul-01,Mark-recapture,Craig,27,42,27,42,0,0,43.8,0.0,
P and Q,20-Jul-01,Removal,Capture to Craig,6,6,,,,,11.0,1.9753,Populations P and Q were not tallied seperately or sexed
M,23-Jul-01,Mark-recapture,Capture to Craig,1,1,1,1,0,0,1.3,1.9988,
O,23-Jul-01,Removal,Capture to Craig,62,62,56,56,6,6,168.8,1.992,Removal from wrong meadow
P,23-Jul-01,Removal,Capture to Craig,47,47,43,43,4,4,122.1,1.9872,
P,23-Jul-01,Removal,Capture to Craig,58,58,55,55,3,3,156.1,1.9908,
Q,23-Jul-01,Removal,Capture to Craig,66,66,64,64,2,2,181.6,1.9932,
Q,23-Jul-01,Removal,Capture to Craig,49,49,46,46,3,3,128.2,1.9879,
Q,23-Jul-01,Removal,Capture to Craig,37,37,36,36,1,1,92.3,1.9837,
O,24-Jul-01,Mark-recapture,Craig,20,25,20,25,0,0,53.9,0.0,
N,25-Jul-01,Mark-recapture,Craig,5,11,5,11,0,0,5.9,0.0099,
O,25-Jul-01,Mark-recapture,Craig,37,84,33,77,4,7,43.2,0.0,
P,25-Jul-01,Removal,Capture to Craig,9,9,9,9,0,0,17.7,1.9743,
P,25-Jul-01,Removal,Capture to Craig,25,25,24,24,1,1,58.3,1.9791,
P,25-Jul-01,Removal,Capture to Craig,7,7,6,6,1,1,13.2,1.9747,
P,25-Jul-01,Removal,Capture to Craig,1,1,1,1,0,0,1.3,1.9988,
Q,25-Jul-01,Removal,Capture to Craig,30,30,25,25,5,5,72.2,1.9811,
Q,25-Jul-01,Removal,Capture to Craig,24,24,19,19,5,5,55.6,1.9787,
Q,25-Jul-01,Removal,Capture to Craig,26,26,20,20,6,6,61.1,1.9795,
Q,25-Jul-01,Removal,Capture to Craig,25,25,20,20,5,5,58.3,1.9791,
N,26-Jul-01,Mark-recapture,Craig,5,12,4,9,1,3,5.7,0.0059,
O,26-Jul-01,Mark-recapture,Craig,46,66,41,61,5,5,85.6,0.0,
F,29-Jul-01,Mark-recapture,Craig,14,18,14,18,0,0,34.3,0.0007,
g,29-Jul-01,Mark-recapture,Craig,40,48,32,38,8,10,127.5,0.0,Poor estimate (101.1 from conversion may be more realistic)
G,29-Jul-01,Mark-recapture,Capture to Craig,1,1,1,1,0,0,1.3,1.9988,
F,31-Jul-01,Mark-recapture,Capture to Craig,7,7,5,5,2,2,13.2,1.9747,
g,31-Jul-01,Mark-recapture,Capture to Craig,11,11,11,11,0,0,22.3,1.9745,
G,31-Jul-01,Mark-recapture,Craig,65,79,59,73,6,6,195.7,0.0,Poor estimate (178.4 from conversion may be more realistic)
P,1-Aug-01,Removal,Capture to Craig,52,52,23,23,29,29,137.4,1.9889,
P,1-Aug-01,Removal,Capture to Craig,52,52,44,44,8,8,137.4,1.9889,
P,1-Aug-01,Removal,Capture to Craig,55,55,46,46,9,9,146.7,1.9898,
P,1-Aug-01,Removal,Capture to Craig,46,46,36,36,10,10,119.0,1.9869,
Q,1-Aug-01,Mark-recapture,Capture to Craig,1,1,1,1,0,0,1.3,1.9988,
Q,1-Aug-01,Removal,Capture to Craig,47,47,41,41,6,6,122.1,1.9872,
Q,1-Aug-01,Removal,Capture to Craig,28,28,21,21,7,7,66.6,1.9803,
Q,1-Aug-01,Removal,Capture to Craig,24,24,21,21,3,3,55.6,1.9787,
Q,1-Aug-01,Removal,Capture to Craig,51,51,43,43,8,8,134.3,1.9886,
R,1-Aug-01,Mark-recapture,Craig,7,14,5,11,2,3,8.8,0.0027,
S,1-Aug-01,Mark-recapture,Craig,17,46,12,39,5,6,18.6,0.0,
P,2-Aug-01,Removal,Capture to Craig,31,31,23,23,8,8,75.0,1.9814,
P,2-Aug-01,Removal,Capture to Craig,25,25,16,16,9,9,58.3,1.9791,
P,2-Aug-01,Removal,Capture to Craig,61,61,42,42,19,19,165.6,1.9917,
Q,2-Aug-01,Mark-recapture,Capture to Craig,2,2,1,1,1,1,3.0,1.986,
Q,2-Aug-01,Removal,Capture to Craig,28,28,16,16,12,12,66.6,1.9803,
Q,2-Aug-01,Removal,Capture to Craig,49,49,36,36,13,13,128.2,1.9879,
Q,2-Aug-01,Removal,Capture to Craig,4,4,2,2,2,2,6.8,1.9778,
Q,2-Aug-01,Removal,Capture to Craig,38,38,29,29,9,9,95.2,1.9841,
R,2-Aug-01,Mark-recapture,Craig,6,7,1,2,5,5,22.1,0.1425,
S,2-Aug-01,Mark-recapture,Craig,25,40,15,26,10,14,38.9,0.0,
R,3-Aug-01,Mark-recapture,Capture to Craig,1,1,0,0,1,1,1.3,1.9988,
S,3-Aug-01,Mark-recapture,Craig,15,24,12,20,3,4,23.4,0.0,
F,5-Aug-01,Mark-recapture,Craig,61,93,52,82,9,11,163.0,0.0,
g,5-Aug-01,Mark-recapture,Craig,83,116,74,107,9,9,163.0,0.0,
G,5-Aug-01,Mark-recapture,Craig,140,228,124,209,15,18,213.1,0.0,
Y,5-Aug-01,Mark-recapture,Craig,7,11,4,6,3,5,11.2,0.0137,
Z,5-Aug-01,Mark-recapture,Craig,99,129,86,115,13,14,232.4,0.0,
F,6-Aug-01,Mark-recapture,Craig,37,48,31,41,6,7,88.0,0.0,
g,6-Aug-01,Mark-recapture,Craig,35,37,30,32,5,5,329.8,0.0,Poor estimate (86.5 from conversion may be more realistic)
G,6-Aug-01,Mark-recapture,Craig,76,79,71,74,5,5,1013.7,0.0,Poor estimate (220.8 from conversion may be more realistic)
N,9-Aug-01,Mark-recapture,Craig,7,16,5,14,2,2,8.1,0.001,
O,9-Aug-01,Mark-recapture,Craig,77,95,68,86,9,9,217.9,0.0,
N,10-Aug-01,Mark-recapture,Craig,6,7,4,5,2,2,22.1,0.1425,
O,10-Aug-01,Mark-recapture,Craig,53,72,42,59,11,13,111.2,0.0,
Y,14-Aug-01,Mark-recapture,Craig,15,26,6,13,9,13,21.3,0.0,
Z,14-Aug-01,Mark-recapture,Craig,155,235,124,199,31,36,261.3,0.0,
Y,15-Aug-01,Mark-recapture,Craig,10,24,2,5,8,19,11.4,0.0,
Z,15-Aug-01,Mark-recapture,Craig,135,196,95,144,40,52,245.5,0.0,
P,16-Aug-01,Removal,Capture to Craig,45,45,31,31,14,14,116.0,1.9865,
P,16-Aug-01,Removal,Capture to Craig,63,63,45,45,18,18,172.0,1.9923,
Q,16-Aug-01,Removal,Capture to Craig,29,29,22,22,7,7,69.4,1.9807,
Q,16-Aug-01,Removal,Capture to Craig,66,66,57,57,9,9,181.6,1.9932,
Q,16-Aug-01,Removal,Capture to Craig,8,8,5,5,3,3,15.4,1.9744,
R,16-Aug-01,Mark-recapture,Craig,15,21,3,5,12,16,29.4,0.0001,
S,16-Aug-01,Mark-recapture,Craig,18,25,4,5,14,20,35.9,0.0,
P,17-Aug-01,Removal,Capture to Craig,47,47,35,35,12,12,122.1,1.9872,
P,17-Aug-01,Removal,Capture to Craig,30,30,23,23,7,7,72.2,1.9811,
P,17-Aug-01,Removal,Capture to Craig,44,44,22,22,22,22,113.0,1.9862,
Q,17-Aug-01,Removal,Capture to Craig,49,49,35,35,14,14,128.2,1.9879,
Q,17-Aug-01,Removal,Capture to Craig,39,39,31,31,8,8,98.1,1.9844,
Q,17-Aug-01,Removal,Capture to Craig,5,5,3,3,2,2,8.9,1.9762,
R,17-Aug-01,Mark-recapture,Craig,19,23,0,0,19,23,58.2,0.0001,
S,17-Aug-01,Mark-recapture,Craig,11,17,3,6,8,11,18.0,0.0009,
F,20-Aug-01,Mark-recapture,Craig,9,11,6,8,3,3,26.5,0.021,
g,20-Aug-01,Mark-recapture,Craig,17,26,7,13,10,13,28.3,0.0,
G,20-Aug-01,Mark-recapture,Craig,25,27,21,23,4,4,173.1,0.0,Poor estimate (58.3 from conversion may be more realistic)
O,20-Aug-01,Mark-recapture,Craig,32,41,19,27,13,14,79.2,0.0,
N,10-Sep-01,Mark-recapture,Craig,2,3,2,3,0,0,3.4,0.4597,
O,10-Sep-01,Mark-recapture,Craig,33,35,25,27,8,8,294.5,0.0,Poor estimate (80.7 from conversion may be more realistic)
M,19-Jul-02,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,
N,19-Jul-02,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,
P,19-Jul-02,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,
Q,19-Jul-02,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,
P,22-Jul-02,Removal,Capture to Craig,7,7,7,7,0,0,13.2,1.9747,
N,23-Jul-02,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,
O,23-Jul-02,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,
P,23-Jul-02,Removal,Capture to Craig,2,2,2,2,0,0,3.0,1.986,
Q,23-Jul-02,Removal,Capture to Craig,5,5,5,5,0,0,8.9,1.9762,
L,24-Jul-02,Mark-recapture,Craig,9,10,9,10,0,0,46.6,0.046,
M,24-Jul-02,Mark-recapture,Craig,9,10,9,10,0,0,46.6,0.046,
S,25-Jul-02,Mark-recapture,Capture to Craig,17,17,16,16,1,1,37.2,1.9761,
S,26-Jul-02,Mark-recapture,Craig,22,31,21,30,1,1,42.5,0.0,
Y,27-Jul-02,Mark-recapture,Craig,3,9,3,9,0,0,3.2,0.0199,
Z,27-Jul-02,Mark-recapture,Craig,54,88,49,82,5,6,82.1,0.0,
Y,28-Jul-02,Mark-recapture,Craig,3,5,3,5,0,0,4.4,0.1758,
Z,28-Jul-02,Mark-recapture,Craig,62,96,56,86,6,10,101.2,0.0,
N,29-Jul-02,Mark-recapture,Craig,2,6,1,2,1,4,2.1,0.0728,
P,29-Jul-02,Removal,Capture to Craig,6,6,6,6,0,0,107.0,1.9855,
Q,29-Jul-02,Removal,Capture to Craig,24,24,4,4,0,0,55.6,1.9787,
R,29-Jul-02,Mark-recapture,Craig,7,12,7,12,0,0,10.0,0.0078,
L,30-Jul-02,Mark-recapture,Craig,73,134,68,129,5,5,97.9,0.0,
M,30-Jul-02,Mark-recapture,Craig,67,124,63,119,4,5,89.2,0.0,
F,5-Aug-02,Mark-recapture,Craig,19,30,18,29,1,1,30.1,0.0,
g,5-Aug-02,Mark-recapture,Craig,22,34,20,32,2,2,36.0,0.0,
G,5-Aug-02,Mark-recapture,Craig,6,12,6,12,0,0,7.5,0.0068,
H,5-Aug-02,Mark-recapture,Craig,5,7,5,7,0,0,9.8,0.0949,
O,7-Aug-02,Mark-recapture,Craig,14,33,13,32,1,1,16.1,0.0,
P,7-Aug-02,Removal,Capture to Craig,14,14,12,12,2,2,207.6,1.9954,
M,8-Aug-02,Mark-recapture,Capture to Craig,11,11,11,11,0,0,22.3,1.9745,
O,8-Aug-02,Mark-recapture,Craig,15,35,12,32,3,3,17.3,0.0,
P,8-Aug-02,Removal,Capture to Craig,15,15,9,9,6,6,134.3,1.9886,
Q,8-Aug-02,Removal,Capture to Craig,31,31,28,28,3,3,75.0,1.9814,
Y,8-Aug-02,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,
Z,8-Aug-02,Mark-recapture,Craig,9,20,9,20,0,0,10.6,0.0001,
S,9-Aug-02,Mark-recapture,Craig,22,61,20,59,2,2,23.4,0.0,
S,10-Aug-02,Mark-recapture,Craig,22,48,19,45,3,3,26.2,0.0,
Y,11-Aug-02,Mark-recapture,Craig,5,26,4,22,1,4,5.0,0.0,
Z,11-Aug-02,Mark-recapture,Craig,99,236,74,202,25,34,113.0,0.0,
Y,12-Aug-02,Mark-recapture,Craig,3,6,2,4,1,2,3.8,0.0979,
Z,12-Aug-02,Mark-recapture,Craig,84,187,68,163,16,24,99.0,0.0,
L,13-Aug-02,Mark-recapture,Craig,62,80,55,70,8,10,150.0,0.0,
M,13-Aug-02,Mark-recapture,Craig,58,73,51,65,7,8,152.4,0.0,
N,13-Aug-02,Mark-recapture,Craig,3,5,1,3,2,2,4.4,0.1758,
O,13-Aug-02,Mark-recapture,Craig,21,36,16,27,5,9,30.1,0.0,
P,13-Aug-02,Removal,Capture to Craig,8,8,6,6,2,2,83.6,1.9826,
Q,13-Aug-02,Removal,Capture to Craig,14,14,6,6,3,3,29.6,1.9751,
R,13-Aug-02,Mark-recapture,Craig,7,24,4,20,3,4,7.3,0.0,
F,18-Aug-02,Mark-recapture,Craig,28,75,26,72,2,3,30.7,0.0,
g,18-Aug-02,Mark-recapture,Craig,39,78,32,69,7,9,49.0,0.0,
G,18-Aug-02,Mark-recapture,Craig,18,33,14,24,4,9,24.2,0.0,
H,18-Aug-02,Mark-recapture,Craig,25,41,22,38,3,3,37.7,0.0,
L,18-Aug-02,Mark-recapture,Craig,48,63,45,59,3,4,110.3,0.0,
M,18-Aug-02,Mark-recapture,Craig,44,58,41,55,3,3,99.9,0.0,
F,19-Aug-02,Mark-recapture,Craig,26,28,22,24,4,4,186.6,0.0,
g,19-Aug-02,Mark-recapture,Craig,29,39,26,35,3,4,62.4,0.0,
G,19-Aug-02,Mark-recapture,Craig,18,36,12,24,6,12,22.6,0.0,
H,19-Aug-02,Mark-recapture,Craig,22,44,18,39,4,5,27.6,0.0,
R,19-Aug-02,Mark-recapture,Capture to Craig,3,3,3,3,0,0,4.9,1.9806,
S,19-Aug-02,Mark-recapture,Craig,8,10,7,9,1,1,21.5,0.0313,
S,20-Aug-02,Mark-recapture,Craig,12,28,9,25,3,3,13.8,0.0,
L,21-Aug-02,Mark-recapture,Craig,53,90,49,85,4,5,76.8,0.0,
M,21-Aug-02,Mark-recapture,Craig,49,83,45,79,4,4,71.2,0.0,
R,21-Aug-02,Mark-recapture,Craig,4,13,3,11,1,2,4.2,0.0031,
S,21-Aug-02,Mark-recapture,Craig,11,22,6,16,5,6,13.8,0.0001,
N,22-Aug-02,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,
O,22-Aug-02,Mark-recapture,Craig,27,49,16,35,11,14,36.6,0.0,
P,22-Aug-02,Removal,Capture to Craig,34,34,21,21,13,13,237.5,1.9978,
Q,22-Aug-02,Removal,Capture to Craig,68,68,15,15,1,1,188.1,1.9938,
N,23-Aug-02,Mark-recapture,Capture to Craig,1,1,0,0,1,1,1.4,1.9981,
O,23-Aug-02,Mark-recapture,Craig,14,17,11,14,3,3,42.3,0.0013,
P,23-Aug-02,Removal,Capture to Craig,7,7,7,7,9,9,13.2,1.9747,
Q,23-Aug-02,Removal,Capture to Craig,11,11,4,4,7,7,22.3,1.9745,
F,24-Aug-02,Mark-recapture,Capture to Craig,1,1,1,1,0,0,1.4,1.9981,
