popualtion,record_date,method,estimation,individuals_captured,total_number_of_captures,number_of_male_individuals_captured,total_number_of_male_captures,number_of_female_individuals_captured,total_number_of_female_captures,est_n,standard_error,notes
H,14-Aug-03,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,
J,17-Aug-03,Mark-recapture,Capture to Craig,3,3,2,2,1,1,4.9,1.9806,
P,18-Aug-03,Removal,Capture to Craig,1,1,1,1,0,0,1.3,1.9988,
Q,18-Aug-03,Removal,Capture to Craig,0,0,0,0,0,0,0.0,,
L,20-Aug-03,Mark-recapture,Craig,3,4,3,4,0,0,6.6,0.3648,
M,20-Aug-03,Mark-recapture,Craig,3,5,3,5,0,0,4.4,0.1758,
L,17-Jul-04,Mark-recapture,Capture to Craig,3,3,1,1,2,2,4.9,1.9806,
M,17-Jul-04,Mark-recapture,Craig,17,26,16,25,1,1,28.3,0.0,
N,17-Jul-04,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,
O,17-Jul-04,Mark-recapture,Capture to Craig,2,2,2,2,0,0,3.0,1.9861,
L,18-Jul-04,Mark-recapture,Craig,6,6,5,5,1,1,11.0,0.1666,
M,18-Jul-04,Mark-recapture,Craig,20,36,19,35,1,1,27.3,0.0,
N,18-Jul-04,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,
O,18-Jul-04,Mark-recapture,Craig,2,4,2,4,0,0,2.5,0.2245,
P,19-Jul-04,Removal,Capture to Craig,50,50,48,48,2,2,131.2,1.9882,
Q,19-Jul-04,Removal,Capture to Craig,12,12,11,11,1,1,24.7,1.9746,
F,21-Jul-04,Mark-recapture,Craig,3,5,3,5,0,0,4.4,0.1758,
g,21-Jul-04,Mark-recapture,Craig,15,22,14,21,1,1,26.8,0.0001,
G,21-Jul-04,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,
H,21-Jul-04,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,
G,22-Jul-04,Mark-recapture,Craig,4,8,4,8,0,0,5.2,0.0418,
F,23-Jul-04,Mark-recapture,Craig,2,5,2,5,0,0,2.2,0.1243,
g,23-Jul-04,Mark-recapture,Craig,15,31,13,29,2,2,18.4,0.0,
G,23-Jul-04,Mark-recapture,Capture to Craig,1,1,1,1,0,0,1.4,1.9981,
H,23-Jul-04,Mark-recapture,Craig,3,4,3,4,0,0,6.6,0.3648,
R,24-Jul-04,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,
S,24-Jul-04,Mark-recapture,Craig,6,17,5,15,1,2,6.5,0.0005,
P,25-Jul-04,Removal,Capture to Craig,39,39,32,32,7,7,98.1,1.9844,
Q,25-Jul-04,Removal,Capture to Craig,35,35,26,26,9,9,86.5,1.983,
R,25-Jul-04,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,
S,25-Jul-04,Mark-recapture,Craig,7,25,5,21,2,4,7.2,0.0,
Y,26-Jul-04,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,
Z,26-Jul-04,Mark-recapture,Craig,22,26,20,23,2,3,75.6,0.0,Poor estimate (50.2 from conversion may be  more realistic)
Y,27-Jul-04,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,
Z,27-Jul-04,Mark-recapture,Craig,47,107,34,86,13,21,54.8,0.0,
L,29-Jul-04,Mark-recapture,Craig,28,44,25,40,3,4,44.7,0.0,
M,29-Jul-04,Mark-recapture,Craig,28,47,23,42,5,5,41.1,0.0,
N,29-Jul-04,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,
O,29-Jul-04,Mark-recapture,Craig,5,18,4,17,1,1,5.2,0.0003,
M,30-Jul-04,Mark-recapture,Craig,24,31,18,24,6,7,57.9,0.0,
F,2-Aug-04,Mark-recapture,Craig,7,17,6,14,1,3,7.9,0.0006,
g,2-Aug-04,Mark-recapture,Craig,20,35,14,29,6,6,28.1,0.0,
G,2-Aug-04,Mark-recapture,Craig,10,17,4,8,6,9,14.5,0.0008,
H,2-Aug-04,Mark-recapture,Craig,6,10,5,7,1,3,8.9,0.0201,
S,2-Aug-04,Mark-recapture,Capture to Craig,1,1,0,0,1,1,1.4,1.9981,Not complete census
F,3-Aug-04,Mark-recapture,Capture to Craig,1,1,0,0,1,1,1.4,1.9981,Not complete census
R,4-Aug-04,Mark-recapture,Capture to Craig,1,1,0,0,1,1,1.4,1.9981,
P,5-Aug-04,Removal,Capture to Craig,37,37,30,30,7,7,92.3,1.9837,
Q,5-Aug-04,Removal,Capture to Craig,7,7,3,3,4,4,13.2,1.9747,
S,5-Aug-04,Mark-recapture,Craig,1,2,0,0,1,2,1.3,0.5442,
Y,6-Aug-04,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,
