family,species_number,species_name,english_name,subspecies,m_mass,m_mass_n,f_mass,f_mass_n,unsexed_mass,unsexed_mass_n,m_wing,m_wing_n,f_wing,f_wing_n,unsexed_wing,unsexed_wing_n,m_tarsus,m_tarsus_n,f_tarsus,f_tarsus_n,unsexed_tarsus,unsexed_tarsus_n,m_bill,m_bill_n,f_bill,f_bill_n,unsexed_bill,unsexed_bill_n,m_tail,m_tail_n,f_tail,f_tail_n,unsexed_tail,unsexed_tail_n,clutch_size,egg_mass,mating_system,display,resource,refs
6,68,Ortalis motmot,Little Chachalaca,,423.0,,385.0,,423.0,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,2,,,"1, 31"
6,92,Penelopina nigra,Highland Guan,,,,,,890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,1
6,101,Crax rubra,Great Curassow,,4200.0,,3685.0,,4200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,218.0,2,,,"1, 31"
7,108,Alectura lathami,Australian Brush-turkey,,2450.0,27,2210.0,13,,,320.7,35,307.0,23.0,,,123.3,34,111.2,23,,,39.3,36,36.2,23.0,,,270.2,6,261.7,3,,,14.78,190.0,4,1,0,"1, 18, 31"
7,118,Megapodius reinwardt,Orange-footed Scrubfowl,,1098.0,5,888.0,6,,,269.0,9,265.0,6.0,,,76.1,9,73.4,6,,,,,,,,,108.0,9,111.0,6,,,5.5,129.0,2,1,2,"1, 18, 31"
7,126,Leipoa ocellata,Malleefowl,,2040.0,2,1830.0,4,,,337.88,6,325.5,4.0,,,74.8,5,71.0,4,,,27.6,5,28.2,4.0,,,,,,,,,18.6,175.0,2,1,1,"18, 31"
8,128,Ammoperdix griseogularis,See-see Partridge,,205.0,3,183.7,3,,,136.0,8,130.0,8.0,,,34.4,8,31.6,8,,,11.9,8,11.1,8.0,,,55.5,8,56.0,8,,,10.0,12.3,,1,0,"10, 31"
8,129,Ammoperdix heyi,Sand Partridge,,,,,,,,131.0,12,128.0,11.0,,,33.9,12,32.3,10,,,12.3,12,11.4,10.0,,,92.3,12,88.3,7,,,10.0,13.8,,,2,"10, 31"
8,131,Tetraogallus caspius,Caspian Snowcock,,2684.5,,2343.8,,,,303.0,3,288.0,3.0,,,67.0,3,61.8,3,,,,,,,,,188.0,3,176.0,2,,,7.5,75.0,,,,"10, 31"
8,137,Alectoris graeca,Rock Partridge,saxatilis,700.0,,575.0,,,,171.0,8,162.0,13.0,,,46.9,9,44.5,13,,,15.2,8,13.7,12.0,,,,,,,,,11.0,19.7,2,1,0,"1, 10, 31, 36"
8,138,Alectoris chukar,Chukar,,536.0,5,501.0,4,,,168.0,5,154.0,12.0,,,46.8,5,44.1,12,,,15.2,5,14.3,12.0,,,82.3,5,78.9,12,,,11.5,22.5,,1,1,"10, 18, 31"
8,141,Alectoris barbara,Barbary Partridge,,,,,,500.0,,166.0,15,156.0,8.0,,,45.1,13,43.1,8,,,15.4,10,14.5,7.0,,,95.1,13,83.6,8,,,12.0,19.6,,2,,"5, 10, 31"
8,142,Alectoris rufa,Red-legged Partridge,,516.0,7,439.0,8,,,165.0,14,157.0,9.0,,,44.5,15,41.4,13,,,13.9,11,13.3,9.0,,,93.2,13,84.4,13,,,13.0,20.1,2,1,1,"1, 10, 31, 36"
8,144,Francolinus francolinus,Black Francolin,,487.5,,425.0,,,,177.0,12,167.0,7.0,,,57.0,12,52.4,7,,,28.6,12,26.6,7.0,,,92.3,12,88.3,7,,,10.0,23.5,,2,1,"10, 31, 36"
8,149,Francolinus coqui,Coqui Francolin,,283.5,2,238.5,4,,,134.0,221,131.0,139.0,,,37.8,221,37.1,139,,,,,,,,,75.2,221,75.4,139,,,4.5,16.1,,,,"5, 31"
8,150,Francolinus albogularis,White-throated Francolin,,,,,,276.0,8,135.0,4,127.0,4.0,,,39.8,4,38.1,4,,,,,,,,,68.5,4,64.5,4,,,6.0,14.0,,,,"5, 31"
8,151,Francolinus schlegelii,Schlegel's Francolin,,,,,,,,128.0,10,123.0,8.0,,,37.2,10,34.4,8,,,,,,,,,66.7,10,65.1,8,,,3.5,,,,,5
8,152,Francolinus lathami,Forest Francolin,,254.0,1,284.0,1,,,136.0,24,134.0,39.0,,,41.4,24,40.6,39,,,,,,,,,73.3,24,72.5,39,,,2.0,17.5,,,,"5, 31"
8,153,Francolinus sephaena,Crested Francolin,sephaena,368.0,17,315.0,9,,,154.0,44,145.0,55.0,,,45.8,44,42.7,55,,,,,,,,,98.5,44,95.7,55,,,6.0,19.5,,,,"5, 31"
8,154,Francolinus streptophorus,Ring-necked Francolin,,385.0,2,,,,,150.0,16,152.0,9.0,,,40.6,16,42.5,9,,,,,,,,,73.9,16,77.7,9,,,4.5,,,,,5
8,155,Francolinus finschi,Finsch's Francolin,,,,,,,,167.0,4,166.0,9.0,,,48.9,4,45.0,9,,,,,,,,,88.1,4,84.7,9,,,5.0,,,,,5
8,156,Francolinus africanus,Grey-winged Francolin,,456.0,6,397.5,4,,,157.0,27,153.0,20.0,,,42.7,27,41.7,20,,,,,,,,,84.5,27,81.1,20,,,5.0,17.8,,,,"5, 31"
8,157,Francolinus levaillantii,Red-winged Francolin,,495.0,1,515.0,1,487.0,22,162.0,23,158.0,17.0,,,,,,,,,,,,,,,80.9,23,77.4,17,,,5.0,21.0,,,,"5, 31"
8,158,Francolinus psilolaemus,Moorland Francolin,,520.0,2,440.0,2,,,164.0,17,159.0,11.0,,,44.8,17,44.4,11,,,,,,,,,85.8,17,87.4,11,,,3.0,,,,,5
8,159,Francolinus shelleyi,Shelley's Francolin,,450.0,4,426.0,3,,,162.0,76,157.0,57.0,,,41.8,76,40.5,57,,,,,,,,,86.3,76,82.9,57,,,4.5,,,,,5
8,160,Francolinus levaillantoides,OrangeRiver Francolin,,454.0,6,414.5,6,,,163.0,52,160.0,34.0,,,43.1,52,41.2,34,,,,,,,,,87.2,52,86.8,34,,,6.5,,,,,5
8,161,Francolinus nahani,Nahan's Francolin,,310.0,2,247.0,3,,,135.0,9,135.0,13.0,,,37.1,9,36.7,13,,,,,,,,,79.5,9,79.0,13,,,4.0,,,,,5
8,162,Francolinus hartlaubi,Hartlaub's Francolin,,,,,,,,143.0,27,135.0,19.0,,,37.8,27,34.8,19,,,,,,,,,,,,,,,,,,1,,"5, 36"
8,163,Francolinus bicalcaratus,Double-spurred Francolin,,,,,,,,177.5,16,169.0,10.0,,,56.5,16,56.5,10,,,28.0,16,24.5,10.0,,,70.0,16,60.5,10,,,6.0,26.5,,,1,"10, 31"
8,164,Francolinus clappertoni,Clapperton's Francolin,,604.0,12,463.0,10,,,180.0,24,166.0,18.0,,,63.6,24,56.3,18,,,,,,,,,87.7,24,81.7,18,,,,23.0,,,,"5, 31"
8,165,Francolinus icterorhynchus,Heuglin's Francolin,,571.0,7,441.0,3,,,169.0,33,157.0,19.0,,,56.8,33,48.4,19,,,,,,,,,85.2,33,77.0,19,,,7.0,,,,,5
8,166,Francolinus harwoodi,Harwood's Francolin,,545.0,1,446.0,1,,,181.0,5,163.5,2.0,,,56.0,5,46.5,2,,,,,,,,,81.6,5,70.5,2,,,,,,,,5
8,167,Francolinus adspersus,Red-billed Francolin,,461.0,17,394.0,26,,,177.0,106,163.0,111.0,,,54.2,106,46.7,111,,,,,,,,,103.0,106,94.8,111,,,6.7,26.8,,1,,"5, 31, 36"
8,168,Francolinus capensis,Cape Francolin,,757.5,6,547.0,4,,,212.0,12,196.0,20.0,,,67.8,12,61.5,20,,,,,,,,,119.0,12,111.0,20,,,7.4,33.0,,,,"5, 31"
8,169,Francolinus hildebrandti,Hildebrandt's Francolin,,622.5,2,455.0,2,,,174.0,30,162.0,29.0,,,50.3,30,45.8,29,,,,,,,,,105.0,30,97.2,29,,,6.0,26.3,,,,"5, 31"
8,170,Francolinus natalensis,Natal Francolin,,532.5,6,385.0,3,,,168.0,38,156.0,28.0,,,49.3,38,45.2,28,,,,,,,,,101.0,38,95.2,28,,,5.0,,,,,5
8,171,Francolinus ahantensis,Ahanta Francolin,,,,,,,,172.0,13,164.0,14.0,,,56.4,13,50.2,14,,,,,,,,,98.0,13,92.5,14,,,5.0,,,,,5
8,172,Francolinus squamatus,Scaly Francolin,,510.0,14,440.0,17,,,175.0,47,163.0,60.0,,,53.9,47,49.1,60,,,,,,,,,97.4,47,89.2,60,,,6.0,,,,,5
8,173,Francolinus griseostriatus,Grey-striped Francolin,,,,,,,,153.0,5,148.0,8.0,,,48.0,5,42.4,8,,,,,,,,,95.0,5,91.0,8,,,,,,,,5
8,174,Francolinus leucoscepus,Yellow-necked Spurfowl,,753.0,173,545.0,223,,,200.0,54,187.0,38.0,,,64.4,54,57.8,38,,,,,,,,,102.0,54,91.2,38,,,5.0,30.8,,1,,"5, 31, 36"
8,175,Francolinus rufopictus,Grey-breasted Spurfowl,,848.0,18,588.0,24,,,213.0,18,190.0,24.0,,,68.0,18,58.0,24,,,,,,,,,95.0,18,86.0,24,,,4.5,28.4,,,,"5, 31"
8,176,Francolinus afer,Red-necked Spurfowl,,532.5,3,,,586.0,14,192.0,13,182.0,8.0,,,60.0,13,56.0,8,,,,,,,,,102.0,13,96.0,8,,,6.0,33.0,,1,,"5, 31, 36"
8,177,Francolinus swainsonii,Swainson's Spurfowl,,732.0,41,510.0,63,,,191.0,58,174.0,26.0,,,60.5,58,52.1,26,,,,,,,,,90.1,58,81.7,26,,,5.5,29.1,,,,"5, 31"
8,178,Francolinus erckelii,Erckel's Francolin,,1263.3,3,1136.0,1,,,216.0,13,185.0,11.0,,,66.2,13,55.7,11,,,,,,,,,130.0,13,112.0,11,,,7.0,33.0,,,,"5, 7, 31"
8,179,Francolinus ochropectus,Ochre-breasted Francolin,,,,,,,,204.5,3,176.0,1.0,,,62.5,3,47.2,1,,,,,,,,,127.0,3,110.0,1,,,,,,,,5
8,180,Francolinus castaneicollis,Chestnut-naped Francolin,,1057.5,6,600.0,4,,,210.0,31,186.0,30.0,,,67.0,31,56.0,30,,,,,,,,,133.0,31,114.0,30,,,5.5,,,,,5
8,181,Francolinus nobilis,Handsome Francolin,,878.5,2,639.3,3,,,198.0,11,178.0,13.0,,,64.6,11,55.1,13,,,,,,,,,106.0,11,100.0,13,,,,,,,,5
8,182,Francolinus jacksoni,Jackson's Francolin,,1064.0,1,,,,,218.0,13,200.0,8.0,,,74.7,13,66.0,8,,,,,,,,,129.0,13,116.0,8,,,,,,,,5
8,183,Francolinus camerunensis,Cameroon Francolin,,,,,,,,171.0,3,164.0,7.0,,,59.0,3,59.0,7,,,,,,,,,82.0,3,81.0,7,,,,,,,,5
8,184,Francolinus swierstrai,Swierstra's Francolin,,,,,,,,171.0,7,167.0,1.0,,,53.0,7,43.0,1,,,,,,,,,98.0,7,,,,,,,,,,5
8,185,Perdix perdix,Grey Partridge,,378.0,10,386.0,4,,,159.0,9,154.0,9.0,,,42.5,21,41.4,22,,,12.9,21,12.4,22.0,,,78.2,9,72.3,13,,,15.0,14.1,,1,,"10, 31, 36"
8,191,Coturnix coturnix,Common Quail,,94.5,20,103.0,11,,,111.0,45,113.0,20.0,,,26.0,23,26.6,18,,,8.9,22,9.0,17.0,,,36.5,32,39.0,15,,,10.5,8.2,2,1,0,"1, 10, 31"
8,193,Coturnix pectoralis,Stubble Quail,,97.9,30,106.0,28,,,102.1,9,104.3,12.0,,,23.1,10,24.6,12,,,11.5,10,12.2,12.0,,,33.0,8,34.3,7,,,7.6,8.6,2,1,,"1, 18, 31"
8,196,Coturnix delegorguei,Harlequin Quail,,72.4,11,78.5,16,,,96.0,35,100.0,30.0,,,,,,,,,,,,,,,,,,,31.7,65,6.0,7.5,,1,,"5, 31"
8,197,Coturnix ypsilophora,Brown Quail,australis,98.0,13,103.0,12,,,98.3,16,100.3,17.0,,,22.6,16,22.6,15,,,13.2,15,13.2,17.0,,,45.5,17,47.0,4,,,7.9,11.2,2,2,,"18, 31"
8,199,Coturnix chinensis,Blue-breasted Quail,,41.0,6,35.6,5,,,72.1,17,72.2,6.0,,,19.0,17,18.7,5,,,9.7,17,10.2,5.0,,,,,,,29.6,14,6.5,4.8,2,1,,"5, 18, 31"
8,201,Perdicula asiatica,Jungle Bush-Quail,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,2,,,"1, 31"
8,226,Ptilopachus petrosus,Stone Partridge,,190.0,2,,,,,123.0,12,122.0,13.0,,,,,,,,,,,,,,,,,,,69.5,,5.0,11.9,,,,"5, 27, 31"
8,243,Gallus gallus,Red Junglefowl,,844.0,,500.0,,2300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,1
8,247,Lophura leucomelanos,Kalij Pheasant,,995.0,,794.0,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,1
8,269,Phasianus colchicus,Common Pheasant,,1186.0,12,989.0,12,,,245.0,10,215.0,,,,,,,,,,,,,,,,466.0,10,300.0,2,,,11.5,31.5,4,2,1,"1, 10, 18, 31, 37"
8,270,Chrysolophus pictus,Golden Pheasant,,875.0,,,,,,195.0,10,187.0,5.0,,,70.6,10,63.9,5,,,29.8,10,28.8,5.0,,,678.0,7,355.0,9,,,8.5,26.7,,1,2,"10, 31, 37"
8,281,Afropavo congensis,Congo Peafowl,,,,,,,,318.0,32,286.0,14.0,,,99.0,33,86.0,15,,,,,,,,,221.0,30,190.0,14,,,3.0,70.0,,1,,"5, 31"
8,285,Dendragapus canadensis,Spruce Grouse,,492.0,,424.0,,550.0,,182.0,16,180.5,15.0,,,38.2,16,37.8,15,,,10.5,16,10.5,15.0,,,,,,,,,,,5,1,,"1, 7, 38"
8,286,Dendragapus obscurus,Blue Grouse,,1273.0,482,839.0,223,1295.0,,229.0,263,208.0,358.0,,,96.0,87,88.0,99,,,20.0,115,18.0,108.0,,,169.0,119,138.0,114,,,7.1,32.5,5,2,,"1, 7, 31, 38"
8,287,Lagopus lagopus,Willow Ptarmigan,,635.0,,555.0,,,,208.0,21,195.0,14.0,,,40.0,14,36.2,12,,,11.5,22,11.1,13.0,,,122.6,366,110.7,157,,,7.5,21.5,2,3,0,"1, 7, 10, 31, 38"
8,288,Lagopus mutus,Rock Ptarmigan,,439.0,,414.0,,480.0,,203.0,16,189.0,8.0,,,32.4,11,29.9,7,,,9.72,20,9.04,10.0,,,116.3,14,102.6,5,,,7.23,20.0,2,3,1,"1, 7, 10, 31"
8,289,Lagopus leucurus,White-tailed Ptarmigan,,359.0,,351.0,,359.0,,200.5,193,193.2,162.0,,,,,,,,,,,,,,,105.0,202,96.3,172,,,5.21,20.0,2,2,,"1, 7, 31"
8,290,Tetrao tetrix,Black Grouse,,1290.0,23,988.0,14,,,257.0,15,226.0,18.0,,,49.7,14,44.8,15,,,14.6,16,13.4,20.0,,,193.0,14,123.0,16,,,8.5,35.5,,2,0,"10, 31"
8,291,Tetrao mlokosiewiczi,Caucasian Grouse,,865.0,12,766.0,5,,,206.0,12,200.0,,,,50.0,12,48.0,,,,13.6,12,12.5,,,,210.0,12,147.0,1,,,6.0,32.5,,2,0,"10, 31"
8,292,Tetrao urogallus,Western Capercaillie,,4240.0,32,1985.0,31,,,390.0,9,300.0,10.0,,,70.6,9,53.3,6,,,31.4,12,20.4,10.0,,,312.0,9,184.0,8,,,8.0,53.0,5,2,,"1, 10, 31"
8,294,Bonasa bonasia,Hazel Grouse,,369.0,39,370.0,25,,,168.0,15,165.0,9.0,,,33.6,9,33.8,4,,,10.5,17,10.3,8.0,,,,,,,,,9.0,19.0,,2,1,"10, 31"
8,296,Bonasa umbellus,Ruffed Grouse,,585.0,3,472.0,5,,,,,,,,,43.6,306,41.7,151,,,26.9,306,26.2,151.0,,,184.0,295,147.5,217,,,11.03,18.0,5,,,"1, 7, 31"
8,297,Centrocercus urophasianus,Sage Grouse,,3200.0,465,1700.0,221,,,340.0,50,284.0,35.0,,,74.0,50,,,,,41.0,50,,,,,,,,,,,7.35,43.0,,1,,"7, 31, 38"
8,298,Tympanuchus phasianellus,Sharp-tailed Grouse,,953.0,,817.0,,900.0,,,,,,204.5,,,,,,43.5,,,,,,11.5,,,,,,,,11.78,24.0,5,,,"1, 7, 31"
8,299,Tympanuchus cupido,Greater Prairie-chicken,pinnatus,933.0,393,795.0,318,975.0,,229.0,5,226.0,5.0,,,48.0,42,48.5,33,,,,,,,,,104.7,10,98.3,10,,,10.55,24.5,5,1,,"1, 7, 31"
8,300,Tympanuchus pallidicinctus,Lesser Prairie-chicken,,743.0,37,628.0,18,,,210.4,65,202.8,11.0,,,96.4,12,97.8,9,,,,,,,,,,,,,,,11.42,,,,,7
8,301,Meleagris gallopavo,Wild Turkey,silvestris,7400.0,,4222.0,,,,511.0,17,417.0,7.0,,,136.8,6,130.6,7,,,34.8,18,31.3,6.0,,,372.5,2,316.4,5,,,10.52,78.8,5,1,,"1, 7, 31"
9,303,Agelastes meleagrides,White-breasted Guineafowl,,,,,,,,209.0,7,201.0,4.0,,,84.0,7,79.0,4,,,,,,,,,152.5,7,138.5,4,,,,29.2,,,,"5, 31"
9,304,Agelastes niger,Black Guineafowl,,,,,,,,209.0,22,197.0,17.0,,,82.0,21,74.0,16,,,,,,,,,156.0,21,148.0,17,,,,29.5,,,,"5, 31"
9,305,Numida meleagris,Helmeted Guineafowl,,1597.0,,1578.0,,,,269.0,198,259.0,113.0,,,84.0,198,79.0,103,,,,,,,,,172.0,198,170.0,110,,,8.0,39.4,2,,0,"1, 5, 10, 31"
9,306,Guttera plumifera,Plumed Guineafowl,,,,,,,,228.0,15,222.0,11.0,,,83.0,14,77.0,11,,,,,,,,,131.0,15,124.0,11,,,9.5,38.5,,,,"5, 31"
9,307,Guttera pucherani,Crested Guineafowl,,1149.0,,,,,,268.0,42,257.0,22.0,,,93.0,38,86.0,20,,,,,,,,,151.0,40,144.0,21,,,4.5,48.6,,,,"5, 31"
9,308,Acryllium vulturinum,Vulturine Guineafowl,,1335.5,2,1329.0,2,,,298.0,31,290.0,20.0,,,109.0,30,99.0,20,,,,,,,,,272.0,23,260.0,20,,,,49.0,,,,"5, 31"
10,312,Oreortyx pictus,Mountain Quail,,244.7,45,233.7,24,,,133.7,49,133.1,19.0,,,36.9,53,35.8,29,,,15.3,52,15.3,28.0,,,86.1,28,82.7,28,,,10.9,10.41,,,,7
10,313,Callipepla squamata,Scaled Quail,,191.0,143,177.0,132,168.0,,,,,,115.0,,33.0,,32.3,,,,14.0,,13.5,,,,,,,,,,,10.3,2,,,"1, 7, 31"
10,315,Callipepla californica,California Quail,californica,186.4,166,162.0,102,180.0,,,,,,112.0,,31.05,10,30.2,10,,,,,,,,,,,,,,,,10.0,2,,,"1, 7, 31"
10,316,Callipepla gambelii,Gambel's Quail,,171.1,108,167.4,77,,,,,,,,,,,,,31.0,,,,,,16.0,,,,,,,,,9.5,2,,,"1, 7, 31"
10,318,Colinus virginianus,Northern Bobwhite,,173.0,899,170.0,692,178.8,,,,,,,,,,,,31.7,50,,,,,14.5,50,146.0,1,156.3,3,,,6.5,8.9,2,,,"1, 7, 10, 31"
10,337,Cyrtonyx montezumae,Montezuma Quail,,191.7,46,179.4,23,,,123.3,54,119.3,30.0,,,26.62,55,25.55,28,,,8.62,54,8.34,30.0,,,58.0,51,58.5,26,,,10.6,10.1,,,1,"7, 31"
12,343,Anseranas semipalmata,Magpie Goose,,2766.0,,2071.0,,,,419.0,165,389.0,177.0,,,106.0,42,93.0,43,,,80.0,74,73.0,56.0,,,,,,,,,9.05,128.0,2,1,,"2, 17, 31"
13,344,Dendrocygna guttata,Spotted Whistling-Duck,,,,800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,"2, 31"
13,345,Dendrocygna eytoni,Plumed Whistling-Duck,,788.0,,792.0,,788.0,,232.0,59,228.0,57.0,,,59.5,8,54.5,9,,,40.0,65,43.0,65.0,,,69.2,7,70.6,8,,,11.0,40.0,2,3,0,"1, 17, 31"
13,346,Dendrocygna bicolor,Fulvous Whistling-Duck,,675.0,,690.0,,688.0,,216.0,12,217.0,15.0,,,54.2,12,54.0,15,,,46.2,12,46.1,15.0,,,51.5,135,49.3,148,,,13.34,51.0,2,,0,"1, 2, 7, 23, 31"
13,347,Dendrocygna arcuata,Wandering Whistling-Duck,,866.0,,732.0,,866.0,,214.0,82,214.0,86.0,,,52.0,12,51.9,8,,,48.0,24,47.0,47.0,,,54.5,12,54.3,6,,,10.5,40.0,2,,,"1, 17, 31"
13,349,Dendrocygna viduata,White-faced Whistling-Duck,,686.0,,662.0,,,,219.0,6,223.3,6.0,,,52.6,6,52.9,6,,,47.7,6,47.4,6.0,,,55.4,6,56.3,6,,,7.25,36.0,,,,"2, 23, 31"
13,350,Dendrocygna arborea,West Indian Whistling-Duck,,,,1150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,"2, 31"
13,351,Dendrocygna autumnalis,Black-bellied Whistling-Duck,,813.0,,849.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,44.0,,,,"2, 31"
13,352,Thalassornis leuconotus,White-backed Duck,,720.0,,695.0,,,,,,,,169.7,8,,,,,38.3,8,,,,,37.1,8,,,,,49.0,8,6.75,84.0,,,,"2, 23, 31"
14,353,Oxyura dominica,Masked Duck,,406.0,,339.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,"2, 31"
14,354,Oxyura jamaicensis,Ruddy Duck,,590.0,,499.0,,,,,,,,,,,,,,,,,,,,,,68.8,5,68.2,6,,,8.1,73.0,,,,"2, 11, 31"
14,356,Oxyura leucocephala,White-headed Duck,,737.0,,593.0,,,,162.0,10,159.0,6.0,,,35.9,16,34.9,,,,45.5,17,44.5,16.0,,,92.4,9,85.5,6,,,7.5,96.0,,,,"2, 11, 23, 31"
14,357,Oxyura maccoa,Maccoa Duck,,820.0,,554.0,,668.0,,169.0,2,155.0,1.0,,,34.0,2,31.0,1,,,41.0,2,36.0,1.0,,,72.5,2,66.0,1,,,5.9,96.0,4,,,"1, 23, 31"
14,358,Oxyura vittata,Lake Duck,,690.0,,590.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,,,,"2, 31"
14,359,Oxyura australis,Blue-billed Duck,,812.0,,852.0,,812.0,,160.0,222,153.0,121.0,,,37.3,16,37.1,8,,,40.3,17,40.4,8.0,,,66.5,13,64.6,7,,,5.5,90.0,2,3,0,"1, 2, 17, 31"
14,360,Biziura lobata,Musk Duck,,2398.0,,1551.0,,2398.0,,223.0,219,185.0,248.0,,,52.6,7,44.8,5,,,41.0,240,35.0,289.0,,,113.5,4,103.2,4,,,2.8,128.0,5,1,1,"1, 17, 31"
14,361,Heteronetta atricapilla,Black-headed Duck,,460.0,,605.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
14,362,Stictonetta naevosa,Freckled Duck,,969.0,,842.0,,,,234.0,97,222.0,82.0,,,47.8,97,44.6,83,,,56.6,97,51.3,83.0,,,68.8,13,66.3,12,,,6.0,66.0,2,1,0,"2, 17, 31"
14,363,Cygnus olor,Mute Swan,,11800.0,,9670.0,,11350.0,,606.0,,562.0,,,,,,,,,,,,,,,,224.0,6,211.0,10,,,5.3,340.0,2,1,2,"1, 2, 6, 7, 11, 23, 31"
14,364,Cygnus atratus,Black Swan,,6200.0,,5100.0,,6200.0,,511.7,,487.5,,,,100.3,111,93.4,76,,,70.8,111,65.3,76.0,,,105.5,111,104.9,76,,,4.55,258.0,2,1,1,"1, 17, 31"
14,365,Cygnus melanocorypha,Black-necked Swan,,5400.0,,4000.0,,5400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,247.0,2,,,"1, 31"
14,366,Cygnus cygnus,Whooper Swan,,14000.0,,8750.0,,9925.0,,,,,,,,,,,,,,,,,,,,169.0,16,167.0,15,,,4.4,331.0,2,,,"1, 2, 11, 31"
14,367,Cygnus buccinator,Trumpeter Swan,,11400.0,,10300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.0,,,,"2, 31"
14,368,Cygnus columbianus,Tundra Swan,,7258.0,,6305.0,,7258.0,,531.0,,510.0,,,,,,,,,,,,,,,,151.0,9,152.0,15,,,4.0,280.0,2,1,1,"1, 6, 7, 11, 31"
14,369,Coscoroba coscoroba,Coscoroba Swan,,4600.0,,3800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.0,,,,"2, 31"
14,370,Anser cygnoides,Swan Goose,,3500.0,,3150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,,,,"2, 31"
14,371,Anser brachyrhynchus,Pink-footed Goose,,2770.0,,2520.0,,,,443.0,,420.0,,,,,,,,,,,,,,,,135.0,14,127.0,11,,,4.4,120.0,,,,"2, 6, 11, 31"
14,372,Anser fabalis,Bean Goose,,3198.0,,2843.0,,,,,,,,,,,,,,,,,,,,,,132.0,5,132.0,2,,,5.0,146.0,,,,"2, 11, 31"
14,373,Anser albifrons,Greater White-fronted Goose,,2853.0,,2508.0,,2703.0,,428.0,,404.0,,,,,,,,,,,,,,,,119.0,15,113.0,12,,,5.5,125.0,2,,2,"1, 6, 7, 11, 31"
14,374,Anser erythropus,Lesser White-fronted Goose,,1870.0,,1725.0,,,,,,,,,,,,,,,,,,,,,,139.0,14,129.0,10,,,5.83,100.0,,,,"2, 11, 31"
