family,species_number,species_name,english_name,subspecies,m_mass,m_mass_n,f_mass,f_mass_n,unsexed_mass,unsexed_mass_n,m_wing,m_wing_n,f_wing,f_wing_n,unsexed_wing,unsexed_wing_n,m_tarsus,m_tarsus_n,f_tarsus,f_tarsus_n,unsexed_tarsus,unsexed_tarsus_n,m_bill,m_bill_n,f_bill,f_bill_n,unsexed_bill,unsexed_bill_n,m_tail,m_tail_n,f_tail,f_tail_n,unsexed_tail,unsexed_tail_n,clutch_size,egg_mass,mating_system,display,resource,refs
1,1,Struthio camelus,Ostrich,,115000.0,,100000.0,,,,,,,,900.0,,,,,,450.0,,,,,,135.0,,,,,,,,,1500.0,4,,,"1, 23, 31"
3,7,Dromaius novaehollandiae,Emu,,32700.0,,38300.0,,,,200.0,10,203.0,10.0,,,426.0,11,441.0,11,,,59.1,11,61.9,11.0,,,,,,,,,8.98,581.2,1,1,0,17
4,8,Apteryx australis,Brown Kiwi,,2208.0,11,2535.0,26,,,,,,,,,69.9,11,73.3,15,,,98.2,11,129.9,15.0,,,,,,,,,2.0,443.0,2,,,"1, 17, 31"
4,9,Apteryx owenii,Little Spotted Kiwi,,1135.0,51,1351.0,41,,,,,,,,,74.1,56,79.7,46,,,72.0,27,87.1,17.0,,,,,,,,,1.0,285.0,2,,,"17, 31"
4,10,Apteryx haastii,Great Spotted Kiwi,,2610.0,12,3270.0,7,,,,,,,,,84.9,7,88.4,13,,,96.0,7,125.8,13.0,,,,,,,,,1.0,425.0,2,,,"17, 31"
5,14,Tinamus major,Great Tinamou,,1059.0,,991.0,,1059.0,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,1,,,"1, 31"
5,21,Crypturellus soui,Little Tinamou,,198.0,6,235.0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,"28, 31"
5,28,Crypturellus boucardi,Slaty-breasted Tinamou,,418.0,22,468.0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51
5,45,Nothoprocta cinerascens,Brushland Tinamou,,475.0,,577.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,1,,,"1, 31"
6,58,Ortalis vetula,Plain Chachalaca,,584.0,106,542.0,102,521.5,,210.0,106,200.0,102.0,,,59.3,106,56.6,102,,,23.3,106,21.7,102.0,,,233.8,15,223.1,13,,,2.88,55.0,2,,,"1, 7, 31"
