id,bcr,aou_52,commonname,scientificname,introduced,bd_g,bd_g_s,bd_g_area,bd_g_com,globalpopest,ps_g,ps_g_s,ps_g_com1,ps_g_com2,ps_g_com3,pt_r,pt_r_s,pt_r_com,tb_r,tb_r_s,tb_r_com,rd_b,rd_b_s,rd_b_com,ppop,ppop_s,substshared,rcs_b,rc,ucc,tnc,tnc_group,cbsd,action,rs,ucs
87.0,,,landbird,Galliformes,Cracidae,,0,0,1,1.0,R,,,,5,,Gomez-Panjabi,,,,,,5,45420,,,5,45420.0,Natureserve 3.0,,5,MX-NSAC,,5,MX-NSAC,habitat loss; hunting; capture for trade
88.0,,,landbird,Galliformes,Cracidae,,0,0,1,1.0,R,,,,4,,PIF CAW 2016,widely extirpated within range; score change from 5 to 4 recommended by Central Americans in 2016,,,,,3,648308,,,3,648308.0,Natureserve 3.0,,4,MX-NSAC,,4,MX-NSAC,hunting; moderate habitat loss
90.0,,,landbird,Galliformes,Odontophoridae,,0,0,0,1.0,R,,,,4,,PIF CAW 2016,,,,,,4,178273,,,4,178273.0,NatureServe,,5,PIF CAW 2014,,5,PIF CAW 2014,
94.0,,,landbird,Galliformes,Odontophoridae,,0,0,1,1.0,R,,,,4,,PIF CAW 2016,se encuentra en pino roble; cafetales; y en periferia de bosques nublados; y en otros bordes de bosque. Es más común de lo que se piensa. Son muy secretivos. (CAW); score change from 5 to 4 recommended by Central Americans in 2016,,,,,4,117543,,,4,117543.0,Natureserve 3.0,,5,MX-NSAC,global score should reflect regional experts' opinion.,5,MX-NSAC,hunting; moderate habitat loss; global score should reflect regional experts' opinion
96.0,,,landbird,Galliformes,Odontophoridae,,1,1,1,1.0,R,,,,2,5800000.0,Northern Bobwhite Conservation Initiative website 2009.  PIF CAW 2016,solo méxico y unos pocos en guate. Está declinando en EU. Se beneficia de áreas pequeñas de agricultura. (CAW);.  Northern Bobwhite Conservation Initiative estimate of 6.4M in 1999 + BBS decline to 2007,1.0,5;800;000,same as global,,1,4547428,,,1,4547428.0,Natureserve 3.0,,4,PIFSC-15,DD='- threats potentially increasing if present trends conditions continue'; loss of fire managed pine; abandoned farm continuing (DP).  Are threats increasing as range continues to shrink? Even with conservation efforts; trends in agricultural intensific,3,PIFTC-02,DD='- threats potentially increasing if present trends conditions continue
97.0,,,landbird,Galliformes,Odontophoridae,,0,0,1,1.0,R,,,,4,,Gomez-Panjabi.  PIF CAW 2016,esta expandiendo su rango y se beneficia de claros en bosque. Está perdiendo terreno en Belice; y está ganando terreno en Petén (CAW);,,,,,4,109099,,,4,109099.0,Natureserve 3.0,,3,MX-NSAC,global score should reflect regional experts' opinion.,3,MX-NSAC,no known threats; global score should reflect regional experts' opinion
104.0,,,landbird,Galliformes,Odontophoridae,,0,0,1,1.0,R,,,,5,,Gomez-Panjabi.  PIF CAW 2016,es más comun de lo que se piensa pero es dificil detectarla. En guatemala es más local y en Honduras está mas ampliamente distribuida. En Honduras se encuentra en áreas perturbadas. (CAW);.  range map (Howell) overestimates distribution in sierra madre de,,,,,4,131285,,,4,131285.0,Natureserve 3.0,,4,MX-NSAC,,4,MX-NSAC,hunting; moderate habitat loss
105.0,,,landbird,Galliformes,Odontophoridae,,0,0,1,1.0,R,,,,4,,Gomez-Panjabi.  PIF CAW 2016,rango pequeño y fragmentado. (CAW);.  range map (Howell) overestimates distribution in yucatan,,,,,4,277049,,,4,277049.0,Natureserve 3.0,,3,MX-NSAC,global score should reflect regional expert's opinion; most regions score as TB=3.,3,MX-NSAC,forest-interior and edge; hunted; wide range of forest types
107.0,,,landbird,Galliformes,Odontophoridae,,0,0,0,1.0,R,,,,4,,PIF CAW 2016,,,,,,4,127441,,,4,127441.0,NatureServe,,5,PIF CAW 2014,,5,PIF CAW 2014,
108.0,,,landbird,Galliformes,Odontophoridae,,0,0,0,1.0,R,,,,5,,PIF CAW 2016,,,,,,5,182,,,5,182.0,NatureServe,,5,PIF CAW 2014,,5,PIF CAW 2014,
109.0,,,landbird,Galliformes,Odontophoridae,,0,0,0,1.0,R,,,,4,,PIF CAW 2016,,,,,,5,9517,,,5,9517.0,NatureServe,,4,PIF CAW 2014,hay más presión en Panamá que en Costa Rica; pérdida de hábitat; ganadería; cacería;,4,PIF CAW 2014,
110.0,,,landbird,Galliformes,Odontophoridae,,0,0,1,1.0,R,,,,4,,PIF CAW 2016,raro y secretivo; se encuentra en bosque pero en bajas densidades. En guate en el pacifico y en otros paises; en zonas altas y volcanicas; se encuentra en mayores cantidades. En la vertiente de pacifico es más común. También se encuentra en cafetales. (CA,,,,,3,339900,,,3,339900.0,Natureserve 3.0,,4,MX-NSAC,,4,MX-NSAC,forest-interior; hunted
123.0,,,landbird,Galliformes,Phasianidae,,1,1,0,0.0,R,,,,4,430000.0,WAFWA 2016,Braun; C.E. 1998. Sage grouse declines in western North America: what are the problems? Proc. West.,1.0,432;000,WAFWA 2016,,2,1407633,,,2,1407633.0,Natureserve 3.0,,4,PIFTC-02,CB-Habitat loss to cultivation; urban; cheatgrass; increased fire; oil and gas; range reduced and extirpated in 4 states/1prov. (BNA).  threats still high; increasing with energy development; potentially mitigated by current conservation activities but no,4,PIFTC-02,CB-same as TB; flock up in small areas
130.0,,,landbird,Galliformes,Phasianidae,,1,1,0,0.0,R,,,,3,2000000.0,PIFSC-09,5-10 times BBS estimate (see RUGR; SPGR),1.0,2;000;000,PIFSC-09,,3,465010,,22.2% of Blue Grouse range; using BCR breakdown,3,465010.0,PIFSC-08,same as BD;   Ken comment: 22.2% of Blue Grouse range; using BCR breakdown,3,PIF Science Committee 2006,,3,PIF Science Committee 2006,
132.0,,,landbird,Galliformes,Phasianidae,,1,1,0,0.0,R,,,,3,750000.0,PIF BBS-based calculation 2016,,1.0,750;000,rounded BBS-based calc,,3,414926,,,3,414926.0,Natureserve 3.0,,4,PIFTC-02,DD='highly vulnerable to human activities and land use.'  Uses highly specific conditions within habitats for leks.  agricultural practices keep threats high; populations still blinking out.,4,PIFTC-02,DD='highly vulnerable to human activities and land use.'  Uses highly specific conditions within habitats for leks.
135.0,,,landbird,Galliformes,Phasianidae,,0,0,1,1.0,R,,,,5,,Gomez-Panjabi.  PIF CAW 2016,está protegido en Belice  pero tiene mucha presión de cacería (CAW);,,,,,4,159200,,,4,159200.0,Natureserve 3.0,,4,MX-NSAC,global score should reflect regional experts' opinion.,3,MX-NSAC,hunting; moderate habitat loss
139.0,,,waterbird,Podicipediformes,Podicipedidae,,0,0,0,1.0,R,,,â€�,5,,PIF CAW 2016,extincto (CAW);,,,,,5,,,,5,,PIF CAW-14,,5,Waterbird Working Group 2017,,5,Waterbird Working Group 2017,
144.0,,,waterbird,Podicipediformes,Podicipedidae,,1,1,1,0.0,PM,,,,5,11000.0,WPE5; BirdLife 2015,2006 for ssp. clarkii; 2001-2011 census-based for ssp. transitionalis (WPE5).,,,,,2,2111927,,,2,1264657.0,Natureserve,,3,Waterbird Working Group 2017,wetland losses may be greatest in great basin; where many of these birds breed,3,Waterbird Working Group 2017,
150.0,,,landbird,Columbiformes,Columbidae,,0,1,1,1.0,R,,,,3,550000.0,Hunter-Wylie-Meyer.  PIF CAW 2016,score change based on new data.  Según expertos la población reproductiva es de 550;000 (CAW).  consensus among species experts,1.0,<12;000,White-crowned Pigeon Biological Status Review (2011) - Florida Fish and Wildlife Conservation Commission,,4,238447,,score adjusted to reflect range area; 200-km rule no longer applies,4,238447.0,PIFSC-08,score adjusted to reflect range area; 200-km rule no longer applies,4,PIFSC-08,DD=' threats ongoing -- presently affecting populations and likely to continue'.  BNA supports that species subject to losses of nesting and feeding habitats in mangroves and woodlads due to development; residential landscape practices; hurricanes. Popula,4,PIFSC-08,DD=' threats ongoing -- presently affecting populations and likely to continue'.  BNA supports that species subject to losses of feeding habitats in woodlands due to development; residential landscape practices; hurricanes. Not clear where certain breedin
153.0,,,landbird,Columbiformes,Columbidae,,1,1,1,1.0,PM,,,,3,3100000.0,PIF BBS-based calculation 2016,,1.0,1;400;000,rounded BBS-based calc,,2,3311640,,,2,2334461.0,Natureserve 3.0,incl. S.Am. Group,3,PIFTC-02,CB-loss of oaks; clearcuts (CAFS); low reprod suc. (BNA); deforestation in Mex; shrub control; (ABQ).,3,PIFTC-02,CB-threats to winter extensive; disease (CODOW)
157.0,,,landbird,Columbiformes,Columbidae,,0,0,1,1.0,R,,,,4,,Gomez-Panjabi,,,,,,3,351765,,,3,351765.0,Natureserve 3.0,,4,MX-NSAC,likely warrants TB=4 due to requirement for humid lowland forest.,4,MX-NSAC,requires forest; but not very sensitive
171.0,,,landbird,Columbiformes,Columbidae,,0,0,1,1.0,R,,,,4,,PIF CAW 2016,el mapa está equivocada; hay amplia distribución en los Andes (CAW); score change from 5 to 4 recommended by Central Americans in 2016,,,,,3,122304,,NS map doesn't include point locations in same as continuous range; although density of records suggests regular range;  score reduced by 1 to account for S. American range,3,122304.0,PIFSC-08,NS maps show dots in S. America; prob. Underestimating range size  Ken comment: doesn't include point locations in SAm;,4,MX-NSAC,,4,MX-NSAC,highly specialized (bamboo)
175.0,,,landbird,Columbiformes,Columbidae,,0,0,0,1.0,R,,,,4,,PIF CAW 2016,distribution reduced by 25% per Tom Schulenberg's comment that it may not breed in part of its mapped range in southwestern amazon and E brazil (CAW);,,,,,2,1111096.5,,,2,1481462.0,NatureServe,,5,PIF CAW 2014,,5,PIF CAW 2014,
180.0,,,landbird,Columbiformes,Columbidae,,0,0,0,1.0,R,,,,5,,PIF CAW 2016,,,,,,4,126033,,,4,126033.0,NatureServe,,4,PIF CAW 2014,,4,PIF CAW 2014,
182.0,,,landbird,Columbiformes,Columbidae,,0,0,1,1.0,R,,,,4,,PIF CAW 2016,score change from 5 to 4 recommended by Central Americans in 2016,,,,,4,92637,,200-km rule no longer applies; island range but still BD=4,4,92637.0,Natureserve 3.0,200-km rule no longer applies but still ND=4,3,MX-NSAC,,3,MX-NSAC,requires forest
183.0,,,landbird,Columbiformes,Columbidae,,0,0,1,1.0,R,,,,4,,Gomez-Panjabi,,,,,,3,313461,,,3,313461.0,Natureserve 3.0,,3,MX-NSAC,TB=3 more appropriate given some use of disturbed habitats.,3,MX-NSAC,requires forest
184.0,,,landbird,Columbiformes,Columbidae,,0,0,1,1.0,R,,,,4,,PIF CAW 2016,Has been split; gray-headed dove occurs in mexico to NW colombia (~1/3 of former range); score change from 3 to 4 recommended by Central Americans in 2016,,,,,3,362096,,,3,362096.0,Natureserve 3.0,,4,MX-NSAC,,4,MX-NSAC,primary forest
187.0,,,landbird,Columbiformes,Columbidae,,0,0,0,1.0,R,,,,5,,PIF CAW 2016,,,,,,5,16588,,,5,16588.0,NatureServe,,4,PIF CAW 2014,puede ser sensible a cambio climático por su uso de bosques de alto altitud,4,PIF CAW 2014,
188.0,,,landbird,Columbiformes,Columbidae,,0,0,0,1.0,R,,,,5,,PIF CAW 2016,,,,,,5,7993,,,5,7993.0,NatureServe,,3,PIF CAW 2014,,3,PIF CAW 2014,
189.0,,,landbird,Columbiformes,Columbidae,,0,0,1,1.0,R,,,,4,,Gomez-Panjabi.  PIF CAW 2016,No son comunes y está en áreas pequeñas (local) (CAW);,,,,,4,192759,,,4,192759.0,Natureserve 3.0,,4,MX-NSAC,global score should reflect regional experts' opinion.,4,MX-NSAC,moderate habitat loss
190.0,,,landbird,Columbiformes,Columbidae,,0,0,0,1.0,R,,,,5,,PIF CAW 2016,,,,,,5,16463,,,5,16463.0,NatureServe,,3,PIF CAW 2014,,3,PIF CAW 2014,
191.0,,,landbird,Columbiformes,Columbidae,,0,0,0,1.0,R,,,,5,,PIF CAW 2016,,,,,,5,6033,,,5,6033.0,NatureServe,,3,PIF CAW 2014,,3,PIF CAW 2014,
202.0,,,landbird,Cuculiformes,Cuculidae,,1,1,1,1.0,M,,,,2,9500000.0,PIF BBS-based calculation 2016,,1.0,8;200;000,rounded BBS-based calc,,1,5267573,,,2,3514098.0,Natureserve 3.0 with adjustment by PIFSC,Reduced by 75%; winter range probably excludes Amazonia; contra NS map (Ken Rosenberg),3,PIFTC-02,DD='moderately vulnerable to human activities and land-use trends.'  BNA supports susceptible to riparian habitat loss in West and habitat frag in eastern US.  Population likely to decline in future if trends conditions continue; CB-western popns in ripar,3,PIFTC-02,DD='moderately vulnerable to human activities and land-use trends.'  BNA supports susceptible to riparian habitat loss in West and habitat frag in eastern US.  Population likely to decline in future if trends conditions continue.  widespread in tropical f
