id,bcr,aou_52,commonname,scientificname,introduced,bd_g,bd_g_s,bd_g_area,bd_g_com,globalpopest,ps_g,ps_g_s,ps_g_com1,ps_g_com2,ps_g_com3,pt_r,pt_r_s,pt_r_com,tb_r,tb_r_s,tb_r_com,rd_b,rd_b_s,rd_b_com,ppop,ppop_s,substshared,rcs_b,rc,ucc,tnc,tnc_group,cbsd,action,rs,ucs
276.0,,,landbird,Apodiformes,Trochilidae,,0,0,0,1.0,R,,,,4,,PIF CAW 2016,,,,,,4,250205,,,4,250205.0,NatureServe,,3,PIF CAW 2014,,3,PIF CAW 2014,
279.0,,,landbird,Apodiformes,Trochilidae,,0,0,0,1.0,R,,,,3,,PIF CAW 2016,,,,,,3,480880,,,3,480880.0,NatureServe,,4,PIF CAW 2014,pérdida de hábitat; posible bioacumulación de pesticidias por su dieta de arañas,4,PIF CAW 2014,
282.0,,,landbird,Apodiformes,Trochilidae,,0,0,1,1.0,R,,,,4,,PIFSC-15,updated score from PIFTC,,,,,3,589701,,,3,589701.0,Natureserve 3.0,,3,MX-NSAC,,3,MX-NSAC,requires forest
289.0,,,landbird,Apodiformes,Trochilidae,,0,0,0,1.0,R,,,,5,,PIF CAW 2016,,,,,,4,112955,,,4,112955.0,NatureServe,,3,PIF CAW 2014,puede ser afectado por cambio climático porque es una especie de alturas,3,PIF CAW 2014,
290.0,,,landbird,Apodiformes,Trochilidae,,0,0,1,1.0,R,,,,4,,Gomez-Panjabi,,,,,,3,489401,,,3,489401.0,Natureserve 3.0,,3,MX-NSAC,,3,MX-NSAC,requires forest
294.0,,,landbird,Apodiformes,Trochilidae,,0,0,0,1.0,R,,,,5,,PIF CAW 2016,,,,,,5,30184,,,5,30184.0,NatureServe,,2,PIF CAW 2014,,2,PIF CAW 2014,
300.0,,,landbird,Apodiformes,Trochilidae,,0,0,0,1.0,R,,,,4,,PIF CAW 2016,,,,,,4,132274,,,4,132274.0,NatureServe,,3,PIF CAW 2014,,3,PIF CAW 2014,
302.0,,,landbird,Apodiformes,Trochilidae,,0,0,0,1.0,R,,,,4,,PIF CAW 2016,hard to detect (CAW);,,,,,4,186898,,,4,186898.0,NatureServe,,3,PIF CAW 2014,,3,PIF CAW 2014,
303.0,,,landbird,Apodiformes,Trochilidae,,0,0,1,1.0,R,,,,5,,Gomez-Panjabi,,,,,,4,254077,,,4,254077.0,Natureserve 3.0,,3,MX-NSAC,global score should reflect regional expert's opinion.,3,MX-NSAC,tropical evergreen and cloud forest specialist
304.0,,,landbird,Apodiformes,Trochilidae,,0,0,0,1.0,R,,,,5,,PIF CAW 2016,,,,,,5,16857,,,5,16857.0,NatureServe,,3,PIF CAW 2014,,3,PIF CAW 2014,
305.0,,,landbird,Apodiformes,Trochilidae,,0,0,0,1.0,R,,,,4,,PIF CAW 2016,,,,,,4,191436,,,4,191436.0,NatureServe,,3,PIF CAW 2014,,3,PIF CAW 2014,
306.0,,,landbird,Apodiformes,Trochilidae,,0,0,0,1.0,R,,,,3,,PIF CAW 2016,range increased by 20% to include eastern cordillera of Colombia (CAW);,,,,,5,76143.6,,,5,63453.0,NatureServe,,3,PIF CAW 2014,,3,PIF CAW 2014,
308.0,,,landbird,Apodiformes,Trochilidae,,0,0,0,1.0,R,,,,4,,PIF CAW 2016,,,,,,5,8294,,,5,8294.0,NatureServe,,3,PIF CAW 2014,,3,PIF CAW 2014,
311.0,,,landbird,Apodiformes,Trochilidae,,0,0,1,1.0,R,,,,4,,Gomez-Panjabi.  PIF CAW 2016,Probablemente declinando por cambio climático. Restringido a tierras altas (CAW);,,,,,4,90508,,,4,90508.0,Natureserve 3.0,,4,MX-NSAC,,4,MX-NSAC,requires forest
312.0,,,landbird,Apodiformes,Trochilidae,,0,0,0,1.0,R,,,,5,,PIF CAW 2016,found only in highlands within mapped range (CAW);,,,,,5,45345,,,5,45345.0,NatureServe,,4,PIF CAW 2014,périda de hábitat y cambio climático,4,PIF CAW 2014,
313.0,,,landbird,Apodiformes,Trochilidae,,0,0,1,1.0,R,,,,4,,PIF CAW 2016,score change from 5 to 4 recommended by Central Americans in 2016,,,,,4,190070,,,4,190070.0,Natureserve 3.0,,3,MX-NSAC,,3,MX-NSAC,requires forest
315.0,,,landbird,Apodiformes,Trochilidae,,0,0,0,1.0,R,,,,5,,PIF CAW 2016,,,,,,5,9398,,,5,9398.0,NatureServe,,3,PIF CAW 2014,en Panamá puede ser afectada por la ganadería; minería; y planta hidroeléctricas,3,PIF CAW 2014,
316.0,,,landbird,Apodiformes,Trochilidae,,0,0,0,1.0,R,,,,4,,PIF CAW 2016,,,,,,5,11024,,,5,11024.0,NatureServe,,3,PIF CAW 2014,cambio climático; en riesgo de extirpación en Nicaragua,3,PIF CAW 2014,
317.0,,,landbird,Apodiformes,Trochilidae,,0,0,0,1.0,R,,,,5,,PIF CAW 2016,,,,,,5,7746,,,5,7746.0,NatureServe,,3,PIF CAW 2014,,3,PIF CAW 2014,
318.0,,,landbird,Apodiformes,Trochilidae,,0,0,1,1.0,R,,,,5,,Gomez-Panjabi,,,,,,4,138314,,,4,138314.0,Natureserve 3.0,,4,MX-NSAC,global score should reflect regional experts' opinion.,4,MX-NSAC,requires forest
321.0,,,landbird,Apodiformes,Trochilidae,,0,0,0,1.0,R,,,,5,,PIF CAW 2016,,,,,,5,9247,,,5,9247.0,NatureServe,,4,PIF CAW 2014,,4,PIF CAW 2014,
322.0,,,landbird,Apodiformes,Trochilidae,,0,0,0,1.0,R,,,,5,,PIF CAW 2016,,,,,,5,36163,,,5,36163.0,NatureServe,,2,PIF CAW 2014,se preocupa más la pérdida de hábitat en Columbia,2,PIF CAW 2014,
323.0,,,landbird,Apodiformes,Trochilidae,,0,0,1,1.0,R,,,,5,,Gomez-Panjabi,,,,,,5,78858,,,5,78858.0,Natureserve 3.0,,3,MX-NSAC,,3,MX-NSAC,moderate habitat loss
325.0,,,landbird,Apodiformes,Trochilidae,,0,0,1,1.0,R,,,,5,,Gomez-Panjabi,,,,,,4,293073,,,4,293073.0,Natureserve 3.0,,3,MX-NSAC,,3,MX-NSAC,moderate habitat loss; Veracruz population highly threatened; secure in Yucatan
335.0,,,landbird,Apodiformes,Trochilidae,,0,0,1,1.0,R,,,,5,,Gomez-Panjabi,,,,,,4,95311,,,4,95311.0,Natureserve 3.0,,4,MX-NSAC,,4,MX-NSAC,cloud forest specialist
337.0,,,landbird,Apodiformes,Trochilidae,,1,1,1,0.0,M,,,,2,19000000.0,PIF BBS-based calculation 2016,,1.0,19;000;000,rounded BBS-based calc,,2,1520851,,,4,232723.0,Natureserve 3.0,,3,PIFSC-15,CB-uses riparian and mountain meadows; grazing; decline unexplained in view of habitat increase with deforestation; trade-off with feeders? (BNA) unknown threats?.  Is breeding habitat or conditions at all limited? Check w NW PIF folks (KVR); Camfield;Ala,3,PIFTC-02,specialized habitat: shrubby/weedy areas in mountains of central mexico; limited by grazing; agriculture and forest management (Panjabi)
339.0,,,landbird,Apodiformes,Trochilidae,,0,0,0,1.0,R,,,,5,,PIF CAW 2016,,,,,,5,4620,,,5,4620.0,NatureServe,,3,PIF CAW 2014,cambio climático; incendios,3,PIF CAW 2014,
340.0,,,landbird,Apodiformes,Trochilidae,,0,0,0,1.0,R,,,,5,,PIF CAW 2016,,,,,,5,2295,,,5,2295.0,NatureServe,,5,PIF CAW 2014,,5,PIF CAW 2014,
341.0,,,landbird,Apodiformes,Trochilidae,,0,0,0,1.0,R,,,,5,,PIF CAW 2016,,,,,,5,9476,,,5,9476.0,NatureServe,,3,PIF CAW 2014,,3,PIF CAW 2014,
354.0,,,landbird,Apodiformes,Trochilidae,,0,0,0,1.0,R,,,,3,,PIF CAW 2016,,,,,,3,472815,,,3,472815.0,NatureServe,,4,PIF CAW 2014,,4,PIF CAW 2014,
355.0,,,landbird,Apodiformes,Trochilidae,,0,0,1,1.0,R,,,,5,,Gomez-Panjabi.  PIF CAW 2016,Distribución fragmentada (CAW);,,,,,4,145112,,,4,145112.0,Natureserve 3.0,,4,MX-NSAC-08,especie habitat dependiente (b niebla); muy sensible; b niebla está muy amenazado y fragmentándose; el efecto de cambio climático afectará a las condiciones del habitat. (Macias); Estamos de acuerdo con TB=5 (Berlanga);  Deseable conocer cual es la situac,4,MX-NSAC,cloud forest specialist
358.0,,,landbird,Apodiformes,Trochilidae,,0,0,1,1.0,R,,,,4,,Gomez-Panjabi,,,,,,4,215811,,,4,215811.0,Natureserve 3.0,,3,MX-NSAC,,3,MX-NSAC,requires forest
360.0,,,landbird,Apodiformes,Trochilidae,,0,0,1,1.0,R,,,,5,,Gomez-Panjabi,,,,,,5,16783,,,5,16783.0,Natureserve 3.0,,4,MX-NSAC,global score should reflect regional experts' opinion.,4,MX-NSAC,tolerant of disturbance
361.0,,,landbird,Apodiformes,Trochilidae,,0,0,1,1.0,R,,,,4,,Gomez-Panjabi,,,,,,4,281390,,,4,281390.0,Natureserve 3.0,,3,MX-NSAC,,3,MX-NSAC,tolerant of disturbance
362.0,,,landbird,Apodiformes,Trochilidae,,0,0,1,1.0,R,,,,4,,Gomez-Panjabi,,,,,,4,175034,,,4,175034.0,Natureserve 3.0,,3,MX-NSAC,,3,MX-NSAC,moderate habitat loss
365.0,,,landbird,Apodiformes,Trochilidae,,0,0,0,1.0,R,,,,4,,PIF CAW 2016,,,,,,5,14383,,,5,14383.0,NatureServe,,3,PIF CAW 2014,,3,PIF CAW 2014,
366.0,,,landbird,Apodiformes,Trochilidae,,0,0,0,1.0,R,,,,5,,PIF CAW 2016,,,,,,5,9642,,,5,9642.0,NatureServe,,3,PIF CAW 2014,,3,PIF CAW 2014,
367.0,,,landbird,Apodiformes,Trochilidae,,0,0,0,1.0,R,,,,5,,PIF CAW 2016,,,,,,5,5241,,,5,5241.0,NatureServe,,2,PIF CAW 2014,,2,PIF CAW 2014,
368.0,,,landbird,Apodiformes,Trochilidae,,0,0,0,1.0,R,,,,4,,PIF CAW 2016,,,,,,5,76657,,,5,76657.0,NatureServe,,4,PIF CAW 2014,requiere hábitat especializada; puede ser afectada por el cambio clímatica,4,PIF CAW 2014,
370.0,,,landbird,Apodiformes,Trochilidae,,0,0,0,1.0,R,,,,3,,PIF CAW 2016,,,,,,4,199106,,,4,199106.0,NatureServe,,4,PIF CAW 2014,,4,PIF CAW 2014,
374.0,,,landbird,Apodiformes,Trochilidae,,0,0,0,1.0,R,,,,4,,PIF CAW 2016,Study by Zamorano University found the species occurred in other habitats besides dry forest; estimated population at ~100;000 (Komar; pers. Comm.); publication in prep. (2016) (CAW);,,,,,5,,,,5,,PIF CAW-14,,3,PIF CAW 2014,,3,PIF CAW 2014,
375.0,,,landbird,Apodiformes,Trochilidae,,0,0,0,1.0,R,,,,3,,PIF CAW 2016,,,,,,4,295969,,,4,295969.0,NatureServe,,4,PIF CAW 2014,,4,PIF CAW 2014,
376.0,,,landbird,Apodiformes,Trochilidae,,0,0,0,1.0,R,,,,4,,PIF CAW 2016,,,,,,5,13186,,,5,13186.0,NatureServe,,3,PIF CAW 2014,,3,PIF CAW 2014,
377.0,,,landbird,Apodiformes,Trochilidae,,0,0,0,1.0,R,,,,5,,PIF CAW 2016,,,,,,5,1675,,,5,1675.0,NatureServe,,5,PIF CAW 2014,su hábitat de manglar es muy suseptible,5,PIF CAW 2014,
380.0,,,landbird,Apodiformes,Trochilidae,,0,0,1,1.0,R,,,,4,,PIF CAW 2016,Hay >50;000 en Sierra Madre de Chiapas y Guatemala (CAW); score change from 5 to 4 recommended by Central Americans in 2016,,,,,5,59455,,,5,59455.0,Natureserve 3.0,,3,MX-NSAC,,3,MX-NSAC,slight to moderate decline expected in MX
381.0,,,landbird,Apodiformes,Trochilidae,,0,0,0,1.0,R,,,,3,,PIF CAW 2016,,,,,,4,245362,,,4,245362.0,NatureServe,,3,PIF CAW 2014,en Costa Rica no hay muchos amenazas,3,PIF CAW 2014,
383.5,,,landbird,,,,0,0,0,1.0,,,,,5,,PIF CAW 2016,,,,,,5,,,,5,,PIF CAW-14,,3,PIF CAW 2014,,3,PIF CAW 2014,
387.0,,,landbird,Apodiformes,Trochilidae,,0,0,1,1.0,R,,,,4,,Gomez-Panjabi,,,,,,4,86005,,,4,86005.0,Natureserve 3.0,,3,MX-NSAC,,3,MX-NSAC,moderate habitat loss
389.0,,,landbird,Apodiformes,Trochilidae,,0,0,0,1.0,R,,,,5,,PIF CAW 2016,,,,,,5,1885,,,5,1885.0,NatureServe,,3,PIF CAW 2014,puede ser afectado por cambio climático,3,PIF CAW 2014,
390.0,,,landbird,Apodiformes,Trochilidae,,0,0,0,1.0,R,,,,5,,PIF CAW 2016,,,,,,5,1287,,,5,1287.0,NatureServe,,4,PIF CAW 2014,,4,PIF CAW 2014,
392.0,,,landbird,Apodiformes,Trochilidae,,0,0,0,1.0,R,,,,4,,PIF CAW 2016,,,,,,4,289449,,,4,289449.0,NatureServe,,3,PIF CAW 2014,,3,PIF CAW 2014,
393.0,,,landbird,Apodiformes,Trochilidae,,0,0,0,1.0,R,,,,5,,PIF CAW 2016,,,,,,5,20370,,,5,20370.0,NatureServe,,2,PIF CAW 2014,,2,PIF CAW 2014,
394.0,,,landbird,Apodiformes,Trochilidae,,0,0,1,1.0,R,,,,4,,PIF CAW 2016,score change from 5 to 4 recommended by Central Americans in 2016,,,,,3,307428,,,3,307428.0,Natureserve 3.0,,3,MX-NSAC,,3,MX-NSAC,tolerant of disturbance (Costa Rica)
397.0,,,waterbird,Gruiformes,Rallidae,,1,1,1,0.0,M,,,,5,,WPE5; BirdLife 2015,missing data for ssp. goldmani.  2000-2008 expert opinion. (WPE5),,,,,2,3649430,,,3,451887.0,Natureserve,,3,Waterbird Working Group 2017,similar threats to habitat as sedge wren; leconte's sparrow and nelson's sparrow,4,Waterbird Working Group 2017,mostly winters on coast; vulnerable to sea-level rise
398.0,,,waterbird,Gruiformes,Rallidae,,0,0,0,1.0,R,,,,4,,PIF CAW 2016,,,,,,2,2870000,,,2,2870000.0,BirdLife 2016,,3,PIF CAW 2014,porque están en reservas indígenas su hábitat de seguir protegido; se queman los pastizales; pero parece resistente a tal manejo,3,PIF CAW 2014,
402.0,,,waterbird,Gruiformes,Rallidae,,0,1,1,1.0,PM,,,,4,,WPE5,missing data for murivagans and salinasi.  35;000-125;000 total individuals or 23;333-83;333 adults for populations estimated (WPE5).  Adult estimate assumes 2/3 of total pop. are adults.  Mid-point of estimate is >50;000.,,,,,3,337361,,,3,485080.0,Natureserve,,5,Waterbird Working Group 2017,although severely threatened in East; possibly not in West; so is TB4 correct overall? Or are all populations threatened with extirpation? (KVR); TB=5 is not only applicable when all populations are in danger of extirpations; but when major portions of th,4,Waterbird Working Group 2017,mostly winters on coast; vulnerable to sea-level rise
407.0,,,waterbird,Gruiformes,Rallidae,,1,1,0,0.0,PM,,,,4,70000.0,WPE5; BirdLife 2015; http://www.museum.lsu.edu/~Remsen/SACCprop639.htm (taxonomic reference),1996-2011 for ssp. elegans; 2005 for ssp. ramsdeni (WPE5).  Adult estimate assumes 2/3 of total pop. are adults.,,,,,2,3369580,,,2,1189707.0,Natureserve,,4,Waterbird Working Group 2017,loss of freshwater wetlands continues rangewide; and may accelerate,4,Waterbird Working Group 2017,
409.0,,,waterbird,Gruiformes,Rallidae,,0,0,1,1.0,R,,,,4,,PIF CAW 2016,,,,,,3,337760,,,3,337760.0,Natureserve,,4,MX-NSAC,,4,MX-NSAC,
412.0,,,waterbird,Gruiformes,Rallidae,,0,0,1,1.0,R,,,,4,,PIF CAW 2016,score change from 5 to 4 recommended by Central Americans in 2016,,,,,2,1590428,,,2,1590428.0,Natureserve,,4,MX-NSAC,,4,MX-NSAC,
417.0,,,waterbird,Gruiformes,Rallidae,,0,0,1,1.0,R,,,,5,,WPE5,missing data for ssp. woodi & ssp. bangsi.  2011 best guess for ssp. flaviventer; 2005 for ssp. gossi; 2007 for ssp. hendersoni.  Adult estimate assumes 2/3 of total pop. are adults.,,,,,2,2076515,,,2,2076515.0,Natureserve,,4,Hunter-Rosenberg 2003,,4,Hunter 2006,
418.0,,,waterbird,Gruiformes,Rallidae,,0,0,0,1.0,R,,,,5,,PIF CAW 2016,falta de informacion (CAW);,,,,,5,43400,,,5,43400.0,BirdLife 2016,,3,Panjabi 2017,Unknown; although it is considered unlikely to be at risk in the lowlands of western Ecuador and there is ample suitable habitat on the Pacific slope in Colombia (Tobias et al. 2006).  It occurs in marshes; swamps; wet savannas; wet grass; pastures and ov,3,Panjabi 2017,Unknown; score not assigned during threats and trend workshop in 2014 as species add to list only later
434.0,,,waterbird,Gruiformes,Gruidae,,1,1,1,0.0,M,,,,5,280.0,BNA Lewis 2015; WPE5; BirdLife 2016,2010-2011 for W. Central Canada-Texas migrants and Florida residents; 2010-2012 for Wisconsin-Florida migrants.  Census-based. 397-403 total individuals (WPE5).,,,,,5,36574,,,5,61670.0,Natureserve,,4,Waterbird Working Group 2017,wood buffalo pop doing OK; experimental pops are not doing well (Waterbird working group 2017),5,Waterbird Working Group 2017,fresh water issues around port aransas are very concerning; threats during migration also very high; shooting in winter/migration
440.0,,,shorebird,Charadriiformes,Haematopodidae,,1,1,1,1.0,PM,,,,5,74000.0,B. Andres 2017,< 50;000 in entire range (Clay et al. 2014).,,11;000,USSCP 2016,,2,1053323,,,2,1122126.0,BirdLife and NatureServe (2012),,4,B. Andres 2017,AMOY is now a conservation dependent species; i.e. without active management (human disturbance; predators) the populations will rapidly decline. (B.Andres 2017),4,USSCP 2016,
441.0,,,shorebird,Charadriiformes,Haematopodidae,,1,1,1,0.0,R,,,,5,10000.0,USSCP 2016,,,,,,4,258718,,,4,271752.0,BirdLife and NatureServe (2012),,3,B. Andres 2017,why are threats so much higher for American than Black? Because of beach nesting; because of habitat use BLOY is much less susceptible to beach effects of human disturbance (B. Andres 2017),2,USSCP 2016,
446.0,,,shorebird,Charadriiformes,Charadriidae,,1,1,1,1.0,M,,,,4,500000.0,B. Andres 2017,Population size on edge; so increase to 4 (B. Andres 2017),,500;000,,,2,3582706,,,2,1444506.0,BirdLife and NatureServe (2012),,2,USSCP 2016,,4,USSCP 2016,
451.0,,,shorebird,Charadriiformes,Charadriidae,,0,1,1,1.0,PM,,,,5,31000.0,USSCP 2016,,,,,,2,1092482,,,2,1080723.0,BirdLife and NatureServe (2012),,4,USSCP 2016,,4,USSCP 2016,
452.0,,,shorebird,Charadriiformes,Charadriidae,,0,1,1,1.0,PM,,,,5,22000.0,USSCP 2016,,,8;600,USSCP 2016,,3,854106,,,3,833803.0,BirdLife and NatureServe (2012),,4,USSCP 2016,,4,USSCP 2016,
455.0,,,shorebird,Charadriiformes,Charadriidae,,1,1,1,1.0,M,,,,5,8400.0,USSCP 2016,,,8;400,,,3,501304,,,4,222206.0,BirdLife and NatureServe (2012),,5,USSCP 2016,,4,USSCP 2016,
458.0,,,shorebird,Charadriiformes,Charadriidae,,1,1,1,0.0,M,,,,5,20000.0,USSCP 2016,,,20;000,,,3,759955,,,3,881845.0,BirdLife and NatureServe (2012),,3,USSCP 2016,,4,USSCP 2016,
464.0,,,shorebird,Charadriiformes,Scolopacidae,,1,1,1,1.0,M,,,,5,50.0,USSCP 2016,,,50,,,3,489795,,,2,1747849.0,BirdLife and NatureServe (2012),,5,USSCP 2016,,5,USSCP 2016,
472.0,,,shorebird,Charadriiformes,Scolopacidae,,1,1,1,1.0,M,,,,4,77000.0,USSCP 2016,,,77;000,,,4,260694,,,2,1316266.0,BirdLife and NatureServe (2012),,2,B. Andres 2017,They are really concentrated in the winter in southern Chile and Argentina (B.Andres 2017).,4,USSCP 2016,
474.0,,,shorebird,Charadriiformes,Scolopacidae,,1,1,1,1.0,M,,,,4,170000.0,USSCP 2016,,,170;000,,,2,1139565,,,3,718444.0,BirdLife and NatureServe (2012),,4,B. Andres 2017,Prairie losses continue (B. Andres 2017).,4,USSCP 2016,
476.0,,,shorebird,Charadriiformes,Scolopacidae,,1,1,1,0.0,M,,,,4,95000.0,USSCP 2016,,,95;000,,,4,83122,,,4,244984.0,BirdLife and NatureServe (2012),,2,USSCP 2016,,3,USSCP 2016,
478.0,,,shorebird,Charadriiformes,Scolopacidae,,1,1,1,1.0,M,,,,3,1000000.0,USSCP 2016,,,139;000,USSCP 2016,,2,1595691,,,1,4329224.0,BirdLife and NatureServe (2012),,2,USSCP 2016,,4,B. Andres 2017,stopover concentrations (B. Andres 2017).
492.0,,,shorebird,Charadriiformes,Scolopacidae,,1,1,0,0.0,M,,,,4,250000.0,USSCP 2016,,,25;000,USSCP 2016,,2,2087709,,,3,578951.0,BirdLife and NatureServe (2012),,2,USSCP 2016,,3,B. Andres 2017,sea-level rise warrants TN=3 (B. Andres 2017).
497.0,,,shorebird,Charadriiformes,Scolopacidae,,1,1,1,1.0,M,,,,4,56000.0,USSCP 2016,latest scores from USSCP,,56;000,,,3,595395,,,2,1502847.0,BirdLife and NatureServe (2012),,3,USSCP 2016,,4,USSCP 2016,
498.0,,,shorebird,Charadriiformes,Scolopacidae,,1,1,1,1.0,M,,,,3,1600000.0,USSCP 2016,,,,,,2,1330181,,,2,1059647.0,BirdLife and NatureServe (2012),,3,USSCP 2016,http://www.shorebirdplan.org/wp-content/uploads/2013/03/ShorePopulationAndresEtAl2012.pdf,3,USSCP 2016,
501.0,,,shorebird,Charadriiformes,Scolopacidae,,1,1,1,1.0,M,,,,4,150000.0,USSCP 2016,,,150;000,,,2,2372728,,,2,1676041.0,BirdLife and NatureServe (2012),,2,USSCP 2016,http://www.shorebirdplan.org/wp-content/uploads/2013/03/ShorePopulationAndresEtAl2012.pdf,4,USSCP 2016,
509.0,,,shorebird,Charadriiformes,Scolopacidae,,1,1,1,0.0,PM,,,,3,3500000.0,USSCP 2016,,,3;500;000,,,1,4267361,,,2,1608507.0,BirdLife and NatureServe (2012),,3,USSCP 2016,,3,USSCP 2016,
516.0,,,shorebird,Charadriiformes,Scolopacidae,,1,1,1,1.0,M,,,,5,18000.0,USSCP 2016,,,18;000,,,2,1113390,,,3,432230.0,BirdLife and NatureServe (2012),,2,USSCP 2016,,3,B. Andres 2017,Does not aggregate like black turnstone or surfbird; but climate change in raises TB/TN to 3 (B. Andres 2017).
520.0,,,shorebird,Charadriiformes,Scolopacidae,,1,1,1,1.0,M,,,,4,250000.0,USSCP 2016,,,250;000,,,2,2510297,,,2,2719479.0,BirdLife and NatureServe (2012),,4,USSCP 2016,,4,USSCP 2016,
530.0,,,waterbird,Charadriiformes,Stercorariidae,,1,1,0,1.0,M,,N,,5,32000.0,BirdLife 2015,Adult estimate assumes 2/3 of total pop. are adults.,,,,,5,16100,,,1,9168165.0,Natureserve; with ocular estimate of range in W Hemishpere based on BirdLife map,BirdLife non-breeding range includes entire N Atlantic; % range in W Hem is a guesstimate,2,Hunter-Rosenberg 2003,,2,Hunter-Rosenberg 2003,
543.0,,,waterbird,Charadriiformes,Alcidae,,1,1,0,0.0,PM,,,,4,260000.0,BirdLife 2015,Adult estimate assumes 2/3 of total pop. are adults.,,,,,2,1111913,,,3,687158.0,Natureserve,,4,Hunter-Rosenberg 2003,,3,Hunter-Rosenberg 2003,
545.0,,,waterbird,Charadriiformes,Alcidae,,1,1,1,0.0,PM,,,,5,15000.0,BirdLife 2015,1975-2003 survey-based,,,,,5,,,,3,,Brad Andres 2015,,4,Brad Andres 2015,,4,Brad Andres 2015,
548.0,,,waterbird,Charadriiformes,Alcidae,,1,1,1,0.0,PM,,,,3,1000000.0,BirdLife 2015,Adult estimate assumes 2/3 of total pop. are adults.,,,,,3,436000,,,2,1212125.0,Natureserve; with ocular estimate of range in W Hemishpere based on BirdLife map,natureserve map is much more restricted than BirdLife; with BirdLife map extending considerably farther off shore,4,Hunter-Rosenberg 2003,,3,Hunter-Rosenberg 2003,
560.0,,,waterbird,Charadriiformes,Laridae,,1,1,0,0.0,M,,,,4,200000.0,BirdLife 2017,290;000-320;000 total individuals (WPE),,,,,4,192000,,,1,,NatureServe,Natureserve data for W. Hemisphere supports score of 1; regardless of additional potential range in Old World,4,Hunter-Rosenberg 2003,,3,Hunter-Rosenberg 2003,
561.0,,,waterbird,Charadriiformes,Laridae,,1,1,0,0.0,M,,,,5,45000.0,BirdLife 2017,"15;000-25;000 total individuals (WPE).  BirdLife has conflicting estimate of 25;000 pairs or 75;000 total individuals from Handbook of the Birds of the World (1996); but the current online version of HBW says 19;000–27;000 individuals; roughly equivalent""",,,,,3,397000,,,2,3386488.0,Natureserve; with ocular estimate of range in W Hemishpere based on BirdLife map,BirdLife range map includes all of polar region in W hemisphere; but only land areas in Old World; % range in W Hem is a guesstimate,4,Defenders of Wildlife 2007,,3,Hunter-Rosenberg 2003,
567.0,,,waterbird,Charadriiformes,Laridae,,1,1,0,0.0,M,,,,5,42000.0,WPE5; BirdLife 2015,best guess (WPE5).  Adult estimate assumes 2/3 of total pop. are adults.,,,,,5,30400,,went with smaller BirdLife estimate as global range map (from BirdLife) includes large areas of icefields/glaciers in Greenland that make up the majority of the range; and these areas probably do not support birds??  BirdLife estimate does not seems to re,1,,BirdLife,ocular estimate of non-breeding range; appears roughly the size of continental U.S.  (~9M sq km),2,Hunter-Rosenberg 2003,,3,Hunter-Rosenberg 2003,
570.0,,,waterbird,Charadriiformes,Laridae,,1,1,1,1.0,M,,,,3,830000.0,WPE5,2001-2011.  Adult estimate assumes 2/3 of total pop. are adults.,,,,,2,1427546,,,3,726860.0,Natureserve,,3,Hunter-Rosenberg 2003,,3,Hunter-Rosenberg 2003,
573.0,,,waterbird,Charadriiformes,Laridae,,1,1,1,1.0,PM,,,,4,350000.0,BirdLife 2016,Adult estimate assumes 2/3 of total pop. are adults.,,,,,5,3532,,,3,785035.0,Natureserve,,4,Hunter-Rosenberg 2003,,2,Hunter-Rosenberg 2003,
579.0,,,waterbird,Charadriiformes,Laridae,,1,1,1,1.0,M,,,,3,,WPE5; BirdLife 2015,missing data for ssp. vegae.  2007 expert opinion for ssp. argentatus; 2001-2011 expert opinion for ssp. smithsonianus.  2;717;000-4;666;000 total individuals (WPE5).,,,,,1,10356915,,,1,7400265.0,Natureserve; with ocular estimate of range in W Hemishpere based on PIFTC,,2,Hunter-Rosenberg 2003,,1,Hunter-Rosenberg 2003,
598.0,,,waterbird,Charadriiformes,Laridae,,0,1,1,1.0,M,,,,4,53000.0,WPE5,2007 for ssp. browni.  Adult estimate assumes 2/3 of total pop. are adults.,,,,,2,1341037,,,2,2169507.0,Natureserve,,4,Waterbird Working Group 2017,,3,Waterbird Working Group 2017,concentrated off coast of south america in winter where they are harvested for food; sold in markets like some shorebirds and roseate terns
604.0,,,waterbird,Charadriiformes,Laridae,,1,1,1,1.0,M,,,,3,850000.0,WPE5,1990-2000 expert opinion for ssp. niger; 2001-2011 for ssp. surinamensis.  Adult estimate assumes 2/3 of total pop. are adults.,,,,,1,10591490,,,2,2293814.0,Natureserve; with ocular estimate of range in W Hemishpere based on PIFTC,,3,Waterbird Working Group 2017,,2,Waterbird Working Group 2017,
607.0,,,waterbird,Charadriiformes,Laridae,,1,1,1,1.0,PM,,,,4,160000.0,BNA Nisbet et al. 2014; Roseate Tern,202;352-216;380 total individuals or 134;901-144;253 adults (WPE5).  Adult estimate assumes 2/3 of total pop. are adults.,,,,,3,417565,,,1,7159000.0,Natureserve; with ocular estimate of range in W Hemishpere based on PIFTC,,4,Waterbird Working Group 2017,,3,Waterbird Working Group 2017,
614.0,,,waterbird,Charadriiformes,Laridae,,0,1,1,1.0,M,,,,4,180000.0,WPE5,2003-2005.  Adult estimate assumes 2/3 of total pop. are adults.,,,,,5,50024,,,3,861309.0,Natureserve,,4,Waterbird Working Group 2017,,3,Waterbird Working Group 2017,
